run_id,external_run_id,scale,node_count,cluster_count,bs_count,map_profile,seed,architecture,load,failure_family,healing_id,variant,map_id,map_signature,mean_node_to_ch_distance,max_node_to_ch_distance,mean_ch_to_bs_distance,max_ch_to_bs_distance,cluster_size_mean,cluster_size_max,cluster_size_cv,long_link_ratio,failure_time_s,recovery_applied_delay_s,recovery_applied_s,recovery_event_time_s,first_recovered_aggregate_s,traffic_recovery_delay_s,recovery_stress_score,recovery_map_profile_penalty_s,recovery_queue_norm,recovery_cluster_norm,recovery_energy_norm,recovery_distance_norm,consumed_j,avg_res_j,min_res_j,low_nodes,raw_tx,raw_rx,raw_delivery_ratio,agg_tx,agg_rx,agg_delivery_ratio,pending_raw_total,failed_chs,recovered_clusters,candidate_group_key,is_healing_case,is_baseline,is_failure_no_healing,source_output_dir
campaign_v3_S8_M3_IMBALANCED_A_L1_F0_H0_seed006,campaign_v3_S8_M3_IMBALANCED_A_L1_F0_H0_seed006_06_20260602_053651,S8,4000,160,5,M3_IMBALANCED,6,A,L1,F0,H0,V1,map_S8_M3_IMBALANCED_seed006,91973b3f684f72a6732106be0e2a025dc605656105e9c04a76ccc763b9bf8b8c,239.907,428.592,187.323,356.147,25,1282,5.3702,0.0798,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6776.555953,0.305861,0.0,3162,1128960,1128960,1.0,1386,1386,1.0,96000,0,0,S8|M3_IMBALANCED|6|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M3_IMBALANCED_A_L1_F0_H0_seed006_06_20260602_053651
campaign_v3_S8_M3_IMBALANCED_A_L1_F0_H0_seed007,campaign_v3_S8_M3_IMBALANCED_A_L1_F0_H0_seed007_07_20260602_054205,S8,4000,160,5,M3_IMBALANCED,7,A,L1,F0,H0,V1,map_S8_M3_IMBALANCED_seed007,ec85c1d4044fc9598562a272b7d2a2c81a9afae7edff544bae216d0c566531e8,249.013,449.722,184.279,361.944,25,1398,5.437,0.073,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6752.652629,0.311837,0.0,3157,1128960,1128960,1.0,1395,1395,1.0,96000,0,0,S8|M3_IMBALANCED|7|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M3_IMBALANCED_A_L1_F0_H0_seed007_07_20260602_054205
campaign_v3_S8_M3_IMBALANCED_A_L1_F0_H0_seed008,campaign_v3_S8_M3_IMBALANCED_A_L1_F0_H0_seed008_08_20260602_061956,S8,4000,160,5,M3_IMBALANCED,8,A,L1,F0,H0,V1,map_S8_M3_IMBALANCED_seed008,7937570ca306de555ae7a25fa0facf9ea03afc7bf3fecc6c45ef879946fcbc12,237.057,422.048,188.71,354.924,25,998,4.9228,0.091,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6765.471472,0.308632,0.0,3167,1128960,1128960,1.0,1386,1386,1.0,96000,0,0,S8|M3_IMBALANCED|8|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M3_IMBALANCED_A_L1_F0_H0_seed008_08_20260602_061956
campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H0_seed006,campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H0_seed006_06_20260602_053653,S8,4000,160,5,M3_IMBALANCED,6,A,L1,F1,H0,V2,map_S8_M3_IMBALANCED_seed006,91973b3f684f72a6732106be0e2a025dc605656105e9c04a76ccc763b9bf8b8c,239.907,428.592,187.323,356.147,25,1282,5.3702,0.0798,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6776.006082,0.305511,0.0,3163,1128725,1128725,1.0,1378,1378,1.0,96005,1,0,S8|M3_IMBALANCED|6|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H0_seed006_06_20260602_053653
campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H0_seed007,campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H0_seed007_07_20260602_054208,S8,4000,160,5,M3_IMBALANCED,7,A,L1,F1,H0,V2,map_S8_M3_IMBALANCED_seed007,ec85c1d4044fc9598562a272b7d2a2c81a9afae7edff544bae216d0c566531e8,249.013,449.722,184.279,361.944,25,1398,5.437,0.073,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6751.669091,0.311605,0.0,3158,1128490,1128490,1.0,1387,1387,1.0,96010,1,0,S8|M3_IMBALANCED|7|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H0_seed007_07_20260602_054208
campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H0_seed008,campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H0_seed008_08_20260602_061959,S8,4000,160,5,M3_IMBALANCED,8,A,L1,F1,H0,V2,map_S8_M3_IMBALANCED_seed008,7937570ca306de555ae7a25fa0facf9ea03afc7bf3fecc6c45ef879946fcbc12,237.057,422.048,188.71,354.924,25,998,4.9228,0.091,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6763.674855,0.308618,0.0,3168,1128255,1128255,1.0,1378,1378,1.0,96015,1,0,S8|M3_IMBALANCED|8|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H0_seed008_08_20260602_061959
campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H1_seed006,campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H1_seed006_06_20260602_053703,S8,4000,160,5,M3_IMBALANCED,6,A,L1,F1,H1,V3,map_S8_M3_IMBALANCED_seed006,91973b3f684f72a6732106be0e2a025dc605656105e9c04a76ccc763b9bf8b8c,239.907,428.592,187.323,356.147,25,1282,5.3702,0.0798,60.0,21.703,81.703,141.703,150.0,90.0,6.355,6.0,1.0,0.001,1.0,0.118,6776.275042,0.305444,0.0,3163,1128878,1128878,1.0,1383,1383,1.0,96000,0,1,S8|M3_IMBALANCED|6|A|L1|F1,true,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H1_seed006_06_20260602_053703
campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H1_seed007,campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H1_seed007_07_20260602_054244,S8,4000,160,5,M3_IMBALANCED,7,A,L1,F1,H1,V3,map_S8_M3_IMBALANCED_seed007,ec85c1d4044fc9598562a272b7d2a2c81a9afae7edff544bae216d0c566531e8,249.013,449.722,184.279,361.944,25,1398,5.437,0.073,60.0,22.213,82.213,142.213,150.0,90.0,6.504,6.0,1.0,0.001,1.0,0.167,6752.308937,0.311445,0.0,3158,1128794,1128794,1.0,1392,1392,1.0,96000,0,1,S8|M3_IMBALANCED|7|A|L1|F1,true,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H1_seed007_07_20260602_054244
campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H1_seed008,campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H1_seed008_08_20260602_062026,S8,4000,160,5,M3_IMBALANCED,8,A,L1,F1,H1,V3,map_S8_M3_IMBALANCED_seed008,7937570ca306de555ae7a25fa0facf9ea03afc7bf3fecc6c45ef879946fcbc12,237.057,422.048,188.71,354.924,25,998,4.9228,0.091,60.0,21.467,81.467,141.467,150.0,90.0,6.394,6.0,1.0,0.003,1.0,0.128,6764.797717,0.308338,0.0,3168,1128714,1128714,1.0,1383,1383,1.0,96000,0,1,S8|M3_IMBALANCED|8|A|L1|F1,true,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H1_seed008_08_20260602_062026
campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H3_seed006,campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H3_seed006_06_20260602_053707,S8,4000,160,5,M3_IMBALANCED,6,A,L1,F1,H3,V3,map_S8_M3_IMBALANCED_seed006,91973b3f684f72a6732106be0e2a025dc605656105e9c04a76ccc763b9bf8b8c,239.907,428.592,187.323,356.147,25,1282,5.3702,0.0798,60.0,27.584,87.584,147.584,150.0,90.0,6.355,6.0,1.0,0.001,1.0,0.118,6776.266042,0.305446,0.0,3163,1128872,1128872,1.0,1383,1383,1.0,96000,0,1,S8|M3_IMBALANCED|6|A|L1|F1,true,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M3_IMBALANCED_A_L1_F1_H3_seed006_06_20260602_053707
