run_id,external_run_id,scale,node_count,cluster_count,bs_count,map_profile,seed,architecture,load,failure_family,healing_id,variant,map_id,map_signature,mean_node_to_ch_distance,max_node_to_ch_distance,mean_ch_to_bs_distance,max_ch_to_bs_distance,cluster_size_mean,cluster_size_max,cluster_size_cv,long_link_ratio,failure_time_s,recovery_applied_delay_s,recovery_applied_s,recovery_event_time_s,first_recovered_aggregate_s,traffic_recovery_delay_s,recovery_stress_score,recovery_map_profile_penalty_s,recovery_queue_norm,recovery_cluster_norm,recovery_energy_norm,recovery_distance_norm,consumed_j,avg_res_j,min_res_j,low_nodes,raw_tx,raw_rx,raw_delivery_ratio,agg_tx,agg_rx,agg_delivery_ratio,pending_raw_total,failed_chs,recovered_clusters,candidate_group_key,is_healing_case,is_baseline,is_failure_no_healing,source_output_dir
,campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed001_01_20260602_005334,S8,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,,,,2049.908947,1.487523,0.0,160,1128960,1128960,1.0,1440,1440,1.0,96000,0,0,S8|||||,false,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed001_01_20260602_005334
,campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed002_02_20260602_005456,S8,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,,,,2052.995347,1.486751,0.0,160,1128960,1128960,1.0,1440,1440,1.0,96000,0,0,S8|||||,false,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed002_02_20260602_005456
,campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed003_03_20260602_005623,S8,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,,,,2065.386456,1.483653,0.0,158,1128960,1128960,1.0,1440,1440,1.0,96000,0,0,S8|||||,false,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed003_03_20260602_005623
,campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed004_04_20260602_005739,S8,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,,,,2037.349082,1.490663,0.0,159,1128960,1128960,1.0,1440,1440,1.0,96000,0,0,S8|||||,false,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed004_04_20260602_005739
,campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed005_05_20260602_005851,S8,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,,,,2054.929048,1.486268,0.0,160,1128960,1128960,1.0,1440,1440,1.0,96000,0,0,S8|||||,false,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed005_05_20260602_005851
,campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed006_06_20260602_010000,S8,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,,,,2052.373613,1.486907,0.0,159,1128960,1128960,1.0,1440,1440,1.0,96000,0,0,S8|||||,false,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed006_06_20260602_010000
,campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed007_07_20260602_010107,S8,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,,,,2060.611545,1.484847,0.0,160,1128960,1128960,1.0,1440,1440,1.0,96000,0,0,S8|||||,false,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed007_07_20260602_010107
,campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed008_08_20260602_010216,S8,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,,,,2049.598244,1.4876,0.0,159,1128960,1128960,1.0,1440,1440,1.0,96000,0,0,S8|||||,false,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed008_08_20260602_010216
,campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed009_09_20260602_010324,S8,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,,,,2069.569077,1.482608,0.0,160,1128960,1128960,1.0,1440,1440,1.0,96000,0,0,S8|||||,false,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed009_09_20260602_010324
,campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed010_10_20260602_010430,S8,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,,,,2051.287513,1.487178,0.0,158,1128960,1128960,1.0,1440,1440,1.0,96000,0,0,S8|||||,false,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed010_10_20260602_010430
,campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed001_01_20260602_005335,S8,,,,,,,,,,,,,,,,,,,,,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,,,,2039.631028,1.489892,0.0,160,1123085,1123085,1.0,1432,1432,1.0,96125,1,0,S8|||||,false,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed001_01_20260602_005335
,campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed002_02_20260602_005457,S8,,,,,,,,,,,,,,,,,,,,,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,,,,2041.159655,1.489576,0.0,160,1121675,1121675,1.0,1432,1432,1.0,96155,1,0,S8|||||,false,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed002_02_20260602_005457
,campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed003_03_20260602_005623,S8,,,,,,,,,,,,,,,,,,,,,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,,,,2053.631807,1.48645,0.0,158,1121910,1121910,1.0,1432,1432,1.0,96150,1,0,S8|||||,false,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_tmpresume/run_campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed003_03_20260602_005623
