run_id,external_run_id,scale,node_count,cluster_count,bs_count,map_profile,seed,architecture,load,failure_family,healing_id,variant,map_id,map_signature,mean_node_to_ch_distance,max_node_to_ch_distance,mean_ch_to_bs_distance,max_ch_to_bs_distance,cluster_size_mean,cluster_size_max,cluster_size_cv,long_link_ratio,failure_time_s,recovery_applied_delay_s,recovery_applied_s,recovery_event_time_s,first_recovered_aggregate_s,traffic_recovery_delay_s,recovery_stress_score,recovery_map_profile_penalty_s,recovery_queue_norm,recovery_cluster_norm,recovery_energy_norm,recovery_distance_norm,consumed_j,avg_res_j,min_res_j,low_nodes,raw_tx,raw_rx,raw_delivery_ratio,agg_tx,agg_rx,agg_delivery_ratio,pending_raw_total,failed_chs,recovered_clusters,candidate_group_key,is_healing_case,is_baseline,is_failure_no_healing,source_output_dir
campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed008,campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed008_08_20260602_075953,S8,4000,160,5,M1_BALANCED,8,A,L1,F0,H0,V1,map_S8_M1_BALANCED_seed008,c8c8ff41da19689094bb3aaf9c3f7565759d7427e1ba83d4fd0a5b9236783a9e,31.846,63.6,187.787,354.184,25,45,0.3148,0.127,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2049.598244,1.4876,0.0,159,1128960,1128960,1.0,1440,1440,1.0,96000,0,0,S8|M1_BALANCED|8|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_recoveryB/run_campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed008_08_20260602_075953
campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed009,campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed009_09_20260602_080134,S8,4000,160,5,M1_BALANCED,9,A,L1,F0,H0,V1,map_S8_M1_BALANCED_seed009,210fa16a26a7fd4becff33efc7cb7b8d64789aae0689033a85f06694309f521c,32.445,64.261,187.137,357.212,25,55,0.3218,0.1268,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2069.569077,1.482608,0.0,160,1128960,1128960,1.0,1440,1440,1.0,96000,0,0,S8|M1_BALANCED|9|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_recoveryB/run_campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed009_09_20260602_080134
campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed010,campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed010_10_20260602_080305,S8,4000,160,5,M1_BALANCED,10,A,L1,F0,H0,V1,map_S8_M1_BALANCED_seed010,a1895466a3261ab53d8e926d543faaeccd683b741c74849dfa28fd68e1962c94,31.955,62.819,186.344,352.689,25,50,0.3492,0.1217,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2051.287513,1.487178,0.0,158,1128960,1128960,1.0,1440,1440,1.0,96000,0,0,S8|M1_BALANCED|10|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_recoveryB/run_campaign_v3_S8_M1_BALANCED_A_L1_F0_H0_seed010_10_20260602_080305
campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed008,campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed008_08_20260602_075954,S8,4000,160,5,M1_BALANCED,8,A,L1,F1,H0,V2,map_S8_M1_BALANCED_seed008,c8c8ff41da19689094bb3aaf9c3f7565759d7427e1ba83d4fd0a5b9236783a9e,31.846,63.6,187.787,354.184,25,45,0.3148,0.127,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.778183,1.48957,0.0,159,1123555,1123555,1.0,1432,1432,1.0,96115,1,0,S8|M1_BALANCED|8|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_recoveryB/run_campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed008_08_20260602_075954
campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed009,campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed009_09_20260602_080135,S8,4000,160,5,M1_BALANCED,9,A,L1,F1,H0,V2,map_S8_M1_BALANCED_seed009,210fa16a26a7fd4becff33efc7cb7b8d64789aae0689033a85f06694309f521c,32.445,64.261,187.137,357.212,25,55,0.3218,0.1268,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2063.568408,1.48376,0.0,160,1125905,1125905,1.0,1432,1432,1.0,96065,1,0,S8|M1_BALANCED|9|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_recoveryB/run_campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed009_09_20260602_080135
campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed010,campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed010_10_20260602_080306,S8,4000,160,5,M1_BALANCED,10,A,L1,F1,H0,V2,map_S8_M1_BALANCED_seed010,a1895466a3261ab53d8e926d543faaeccd683b741c74849dfa28fd68e1962c94,31.955,62.819,186.344,352.689,25,50,0.3492,0.1217,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2043.015615,1.488996,0.0,158,1123790,1123790,1.0,1432,1432,1.0,96110,1,0,S8|M1_BALANCED|10|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_recoveryB/run_campaign_v3_S8_M1_BALANCED_A_L1_F1_H0_seed010_10_20260602_080306
campaign_v3_S8_M1_BALANCED_A_L1_F1_H1_seed008,campaign_v3_S8_M1_BALANCED_A_L1_F1_H1_seed008_08_20260602_080002,S8,4000,160,5,M1_BALANCED,8,A,L1,F1,H1,V3,map_S8_M1_BALANCED_seed008,c8c8ff41da19689094bb3aaf9c3f7565759d7427e1ba83d4fd0a5b9236783a9e,31.846,63.6,187.787,354.184,25,45,0.3148,0.127,60.0,17.204,77.204,137.204,140.0,80.0,8.045,0.0,1.0,0.523,1.0,0.159,2047.986133,1.487768,0.0,160,1127166,1127166,1.0,1437,1437,1.0,96000,0,1,S8|M1_BALANCED|8|A|L1|F1,true,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_recoveryB/run_campaign_v3_S8_M1_BALANCED_A_L1_F1_H1_seed008_08_20260602_080002
campaign_v3_S8_M1_BALANCED_A_L1_F1_H1_seed009,campaign_v3_S8_M1_BALANCED_A_L1_F1_H1_seed009_09_20260602_080140,S8,4000,160,5,M1_BALANCED,9,A,L1,F1,H1,V3,map_S8_M1_BALANCED_seed009,210fa16a26a7fd4becff33efc7cb7b8d64789aae0689033a85f06694309f521c,32.445,64.261,187.137,357.212,25,55,0.3218,0.1268,60.0,16.436,76.436,136.436,140.0,80.0,7.152,0.0,1.0,0.241,1.0,0.143,2068.360499,1.482562,0.0,161,1127959,1127959,1.0,1437,1437,1.0,96000,0,1,S8|M1_BALANCED|9|A|L1|F1,true,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_recoveryB/run_campaign_v3_S8_M1_BALANCED_A_L1_F1_H1_seed009_09_20260602_080140
campaign_v3_S8_M1_BALANCED_A_L1_F1_H1_seed010,campaign_v3_S8_M1_BALANCED_A_L1_F1_H1_seed010_10_20260602_080311,S8,4000,160,5,M1_BALANCED,10,A,L1,F1,H1,V3,map_S8_M1_BALANCED_seed010,a1895466a3261ab53d8e926d543faaeccd683b741c74849dfa28fd68e1962c94,31.955,62.819,186.344,352.689,25,50,0.3492,0.1217,60.0,17.438,77.438,137.438,140.0,80.0,7.915,0.0,1.0,0.449,1.0,0.189,2049.815093,1.487296,0.0,159,1127244,1127244,1.0,1437,1437,1.0,96000,0,1,S8|M1_BALANCED|10|A|L1|F1,true,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_recoveryB/run_campaign_v3_S8_M1_BALANCED_A_L1_F1_H1_seed010_10_20260602_080311
campaign_v3_S8_M1_BALANCED_A_L1_F1_H3_seed008,campaign_v3_S8_M1_BALANCED_A_L1_F1_H3_seed008_08_20260602_080006,S8,4000,160,5,M1_BALANCED,8,A,L1,F1,H3,V3,map_S8_M1_BALANCED_seed008,c8c8ff41da19689094bb3aaf9c3f7565759d7427e1ba83d4fd0a5b9236783a9e,31.846,63.6,187.787,354.184,25,45,0.3148,0.127,60.0,23.048,83.048,143.048,150.0,90.0,8.045,0.0,1.0,0.523,1.0,0.159,2045.204398,1.488463,0.0,160,1125367,1125367,1.0,1437,1437,1.0,95725,0,1,S8|M1_BALANCED|8|A|L1|F1,true,false,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S8_4000/outputs_production_50seed_part01_10_recoveryB/run_campaign_v3_S8_M1_BALANCED_A_L1_F1_H3_seed008_08_20260602_080006
