run_id,external_run_id,scale,node_count,cluster_count,bs_count,map_profile,seed,architecture,load,failure_family,healing_id,variant,map_id,map_signature,mean_node_to_ch_distance,max_node_to_ch_distance,mean_ch_to_bs_distance,max_ch_to_bs_distance,cluster_size_mean,cluster_size_max,cluster_size_cv,long_link_ratio,failure_time_s,recovery_applied_delay_s,recovery_applied_s,recovery_event_time_s,first_recovered_aggregate_s,traffic_recovery_delay_s,recovery_stress_score,recovery_map_profile_penalty_s,recovery_queue_norm,recovery_cluster_norm,recovery_energy_norm,recovery_distance_norm,consumed_j,avg_res_j,min_res_j,low_nodes,raw_tx,raw_rx,raw_delivery_ratio,agg_tx,agg_rx,agg_delivery_ratio,pending_raw_total,failed_chs,recovered_clusters,candidate_group_key,is_healing_case,is_baseline,is_failure_no_healing,source_output_dir
campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed001,campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed001_01_20260602_134113,S9,4500,180,6,M1_BALANCED,1,A,L1,F0,H0,V1,map_S9_M1_BALANCED_seed001,10b8fc0bb2e0642597f95932ca59284144f58f3ce5d93ac265f83eea184f10c3,31.934,61.782,182.48,365.051,25,48,0.3453,0.1298,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2309.547956,1.486767,0.0,180,1270080,1270080,1.0,1620,1620,1.0,108000,0,0,S9|M1_BALANCED|1|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part01_05/run_campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed001_01_20260602_134113
campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed002,campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed002_02_20260602_134255,S9,4500,180,6,M1_BALANCED,2,A,L1,F0,H0,V1,map_S9_M1_BALANCED_seed002,a609723e29e0242ea9d9edfa14acd51c5c118793a8172151720d90672748f1fe,31.748,63.531,184.127,375.103,25,43,0.293,0.1211,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2302.116275,1.488419,0.0,180,1270080,1270080,1.0,1620,1620,1.0,108000,0,0,S9|M1_BALANCED|2|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part01_05/run_campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed002_02_20260602_134255
campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed003,campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed003_03_20260602_134445,S9,4500,180,6,M1_BALANCED,3,A,L1,F0,H0,V1,map_S9_M1_BALANCED_seed003,d5502ad7a5b228ff5fdfbcefd3c6247a9664d6780167f8f095345b7a5634cc3f,31.922,64.617,185.046,379.911,25,46,0.313,0.1151,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2306.132501,1.487526,0.0,178,1270080,1270080,1.0,1620,1620,1.0,108000,0,0,S9|M1_BALANCED|3|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part01_05/run_campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed003_03_20260602_134445
campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed004,campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed004_04_20260602_134618,S9,4500,180,6,M1_BALANCED,4,A,L1,F0,H0,V1,map_S9_M1_BALANCED_seed004,63ac7eadb1d5083f613e29dea640435c14b679f255c07f89f5292cbe41b4349d,32.041,62.407,188.37,360.671,25,45,0.3212,0.126,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2312.785552,1.486048,0.0,180,1270080,1270080,1.0,1620,1620,1.0,108000,0,0,S9|M1_BALANCED|4|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part01_05/run_campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed004_04_20260602_134618
campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed005,campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed005_05_20260602_134747,S9,4500,180,6,M1_BALANCED,5,A,L1,F0,H0,V1,map_S9_M1_BALANCED_seed005,bb8cf1f5eeeeaaedba6b7588e7bf7666438c14bb8e713c9a33abdb4deb67737f,32.235,64.758,185.254,378.712,25,47,0.338,0.1333,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2319.454655,1.484566,0.0,176,1270080,1270080,1.0,1620,1620,1.0,108000,0,0,S9|M1_BALANCED|5|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part01_05/run_campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed005_05_20260602_134747
campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed001,campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed001_01_20260602_134114,S9,4500,180,6,M1_BALANCED,1,A,L1,F1,H0,V2,map_S9_M1_BALANCED_seed001,10b8fc0bb2e0642597f95932ca59284144f58f3ce5d93ac265f83eea184f10c3,31.934,61.782,182.48,365.051,25,48,0.3453,0.1298,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2301.498515,1.488298,0.0,180,1266085,1266085,1.0,1612,1612,1.0,108085,1,0,S9|M1_BALANCED|1|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part01_05/run_campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed001_01_20260602_134114
campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed002,campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed002_02_20260602_134256,S9,4500,180,6,M1_BALANCED,2,A,L1,F1,H0,V2,map_S9_M1_BALANCED_seed002,a609723e29e0242ea9d9edfa14acd51c5c118793a8172151720d90672748f1fe,31.748,63.531,184.127,375.103,25,43,0.293,0.1211,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2293.953472,1.490003,0.0,180,1265145,1265145,1.0,1612,1612,1.0,108105,1,0,S9|M1_BALANCED|2|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part01_05/run_campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed002_02_20260602_134256
campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed003,campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed003_03_20260602_134445,S9,4500,180,6,M1_BALANCED,3,A,L1,F1,H0,V2,map_S9_M1_BALANCED_seed003,d5502ad7a5b228ff5fdfbcefd3c6247a9664d6780167f8f095345b7a5634cc3f,31.922,64.617,185.046,379.911,25,46,0.313,0.1151,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2298.264388,1.489015,0.0,178,1266085,1266085,1.0,1612,1612,1.0,108085,1,0,S9|M1_BALANCED|3|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part01_05/run_campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed003_03_20260602_134445
campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed004,campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed004_04_20260602_134619,S9,4500,180,6,M1_BALANCED,4,A,L1,F1,H0,V2,map_S9_M1_BALANCED_seed004,63ac7eadb1d5083f613e29dea640435c14b679f255c07f89f5292cbe41b4349d,32.041,62.407,188.37,360.671,25,45,0.3212,0.126,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.223626,1.488732,0.0,180,1262560,1262560,1.0,1612,1612,1.0,108160,1,0,S9|M1_BALANCED|4|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part01_05/run_campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed004_04_20260602_134619
campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed005,campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed005_05_20260602_134748,S9,4500,180,6,M1_BALANCED,5,A,L1,F1,H0,V2,map_S9_M1_BALANCED_seed005,bb8cf1f5eeeeaaedba6b7588e7bf7666438c14bb8e713c9a33abdb4deb67737f,32.235,64.758,185.254,378.712,25,47,0.338,0.1333,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2308.752226,1.48679,0.0,176,1263500,1263500,1.0,1612,1612,1.0,108140,1,0,S9|M1_BALANCED|5|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part01_05/run_campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed005_05_20260602_134748
