run_id,external_run_id,scale,node_count,cluster_count,bs_count,map_profile,seed,architecture,load,failure_family,healing_id,variant,map_id,map_signature,mean_node_to_ch_distance,max_node_to_ch_distance,mean_ch_to_bs_distance,max_ch_to_bs_distance,cluster_size_mean,cluster_size_max,cluster_size_cv,long_link_ratio,failure_time_s,recovery_applied_delay_s,recovery_applied_s,recovery_event_time_s,first_recovered_aggregate_s,traffic_recovery_delay_s,recovery_stress_score,recovery_map_profile_penalty_s,recovery_queue_norm,recovery_cluster_norm,recovery_energy_norm,recovery_distance_norm,consumed_j,avg_res_j,min_res_j,low_nodes,raw_tx,raw_rx,raw_delivery_ratio,agg_tx,agg_rx,agg_delivery_ratio,pending_raw_total,failed_chs,recovered_clusters,candidate_group_key,is_healing_case,is_baseline,is_failure_no_healing,source_output_dir
campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed046,campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed046_46_20260602_184011,S9,4500,180,6,M1_BALANCED,46,A,L1,F0,H0,V1,map_S9_M1_BALANCED_seed046,ccfa414b93201a1a8441c886c9421917c960627726873bff9b88e8dcf7ed109d,31.914,63.167,184.202,371.538,25,43,0.3228,0.1347,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2308.60199,1.486977,0.0,179,1270080,1270080,1.0,1620,1620,1.0,108000,0,0,S9|M1_BALANCED|46|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part46_50/run_campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed046_46_20260602_184011
campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed047,campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed047_47_20260602_184128,S9,4500,180,6,M1_BALANCED,47,A,L1,F0,H0,V1,map_S9_M1_BALANCED_seed047,e5b33eb328284c30723df6be7ffb61bfcd72ab5c1f10e56e6599a974dc6fe6b1,32.174,64.123,186.701,380.759,25,54,0.2997,0.1304,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2317.622772,1.484973,0.0,179,1270080,1270080,1.0,1620,1620,1.0,108000,0,0,S9|M1_BALANCED|47|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part46_50/run_campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed047_47_20260602_184128
campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed048,campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed048_48_20260602_184249,S9,4500,180,6,M1_BALANCED,48,A,L1,F0,H0,V1,map_S9_M1_BALANCED_seed048,3e4304670c4c819aa5d5b501f74e73ab7b6cda6bded0977f0ae00f127f9f88ec,31.855,62.989,185.134,381.137,25,47,0.3516,0.1211,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2302.700004,1.488289,0.0,178,1270080,1270080,1.0,1620,1620,1.0,108000,0,0,S9|M1_BALANCED|48|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part46_50/run_campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed048_48_20260602_184249
campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed049,campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed049_49_20260602_184414,S9,4500,180,6,M1_BALANCED,49,A,L1,F0,H0,V1,map_S9_M1_BALANCED_seed049,2474192012ef7d6224bff02c4af15deab5db518ce232a33be94a0dc0bb9e9e63,31.77,62.931,186.326,368.632,25,45,0.3249,0.1251,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.75611,1.488721,0.0,178,1270080,1270080,1.0,1620,1620,1.0,108000,0,0,S9|M1_BALANCED|49|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part46_50/run_campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed049_49_20260602_184414
campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed050,campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed050_50_20260602_184534,S9,4500,180,6,M1_BALANCED,50,A,L1,F0,H0,V1,map_S9_M1_BALANCED_seed050,b304b75d7ee2d12213815db382e9344258944c6c5eedb8bcaf2bb2bae0cdcc2c,31.457,63.316,182.861,357.46,25,43,0.2846,0.1396,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2292.805967,1.490488,0.0,179,1270080,1270080,1.0,1620,1620,1.0,108000,0,0,S9|M1_BALANCED|50|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part46_50/run_campaign_v3_S9_M1_BALANCED_A_L1_F0_H0_seed050_50_20260602_184534
campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed046,campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed046_46_20260602_184012,S9,4500,180,6,M1_BALANCED,46,A,L1,F1,H0,V2,map_S9_M1_BALANCED_seed046,ccfa414b93201a1a8441c886c9421917c960627726873bff9b88e8dcf7ed109d,31.914,63.167,184.202,371.538,25,43,0.3228,0.1347,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2301.549169,1.488288,0.0,179,1265615,1265615,1.0,1612,1612,1.0,108095,1,0,S9|M1_BALANCED|46|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part46_50/run_campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed046_46_20260602_184012
campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed047,campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed047_47_20260602_184128,S9,4500,180,6,M1_BALANCED,47,A,L1,F1,H0,V2,map_S9_M1_BALANCED_seed047,e5b33eb328284c30723df6be7ffb61bfcd72ab5c1f10e56e6599a974dc6fe6b1,32.174,64.123,186.701,380.759,25,54,0.2997,0.1304,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2313.834609,1.485443,0.0,179,1268435,1268435,1.0,1612,1612,1.0,108035,1,0,S9|M1_BALANCED|47|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part46_50/run_campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed047_47_20260602_184128
campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed048,campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed048_48_20260602_184250,S9,4500,180,6,M1_BALANCED,48,A,L1,F1,H0,V2,map_S9_M1_BALANCED_seed048,3e4304670c4c819aa5d5b501f74e73ab7b6cda6bded0977f0ae00f127f9f88ec,31.855,62.989,185.134,381.137,25,47,0.3516,0.1211,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2298.556383,1.488841,0.0,178,1268435,1268435,1.0,1612,1612,1.0,108035,1,0,S9|M1_BALANCED|48|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part46_50/run_campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed048_48_20260602_184250
campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed049,campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed049_49_20260602_184415,S9,4500,180,6,M1_BALANCED,49,A,L1,F1,H0,V2,map_S9_M1_BALANCED_seed049,2474192012ef7d6224bff02c4af15deab5db518ce232a33be94a0dc0bb9e9e63,31.77,62.931,186.326,368.632,25,45,0.3249,0.1251,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2294.615018,1.489791,0.0,178,1266555,1266555,1.0,1612,1612,1.0,108075,1,0,S9|M1_BALANCED|49|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part46_50/run_campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed049_49_20260602_184415
campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed050,campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed050_50_20260602_184534,S9,4500,180,6,M1_BALANCED,50,A,L1,F1,H0,V2,map_S9_M1_BALANCED_seed050,b304b75d7ee2d12213815db382e9344258944c6c5eedb8bcaf2bb2bae0cdcc2c,31.457,63.316,182.861,357.46,25,43,0.2846,0.1396,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2284.262256,1.492161,0.0,179,1265145,1265145,1.0,1612,1612,1.0,108105,1,0,S9|M1_BALANCED|50|A|L1|F1,false,false,true,/home/cyfer/FYP/WSN_simulation_V3/runs/S9_4500/outputs_production_50seed_part46_50/run_campaign_v3_S9_M1_BALANCED_A_L1_F1_H0_seed050_50_20260602_184534
