node_id,cluster_id,is_ch
0,6,0
1,19,0
2,55,0
3,58,0
4,161,0
5,76,0
6,89,0
7,143,0
8,41,0
9,77,0
10,86,0
11,0,1
12,4,0
13,75,0
14,84,0
15,3,0
16,111,0
17,132,0
18,78,0
19,19,0
20,76,0
21,11,0
22,11,0
23,95,0
24,17,0
25,83,0
26,116,0
27,54,0
28,169,0
29,134,0
30,89,0
31,185,0
32,192,0
33,135,0
34,81,0
35,23,0
36,150,0
37,11,0
38,93,0
39,175,0
40,10,0
41,83,0
42,178,0
43,120,0
44,87,0
45,17,0
46,151,0
47,7,0
48,27,0
49,165,0
50,4,0
51,2,0
52,139,0
53,103,0
54,1,1
55,162,0
56,107,0
57,8,0
58,58,0
59,118,0
60,158,0
61,117,0
62,179,0
63,88,0
64,103,0
65,184,0
66,124,0
67,108,0
68,142,0
69,86,0
70,44,0
71,124,0
72,103,0
73,72,0
74,13,0
75,56,0
76,1,0
77,190,0
78,55,0
79,119,0
80,197,0
81,79,0
82,129,0
83,170,0
84,174,0
85,105,0
86,101,0
87,0,0
88,56,0
89,114,0
90,21,0
91,125,0
92,55,0
93,144,0
94,0,0
95,148,0
96,111,0
97,60,0
98,57,0
99,189,0
100,192,0
101,51,0
102,60,0
103,2,1
104,132,0
105,188,0
106,165,0
107,21,0
108,44,0
109,117,0
110,86,0
111,31,0
112,3,1
113,112,0
114,3,0
115,46,0
116,62,0
117,77,0
118,39,0
119,6,0
120,161,0
121,129,0
122,54,0
123,62,0
124,131,0
125,32,0
126,95,0
127,44,0
128,4,1
129,67,0
130,145,0
131,22,0
132,65,0
133,1,0
134,96,0
135,184,0
136,86,0
137,20,0
138,122,0
139,97,0
140,18,0
141,109,0
142,150,0
143,131,0
144,153,0
145,56,0
146,69,0
147,36,0
148,143,0
149,98,0
150,108,0
151,197,0
152,110,0
153,139,0
154,104,0
155,127,0
156,167,0
157,73,0
158,189,0
159,59,0
160,127,0
161,37,0
162,157,0
163,117,0
164,151,0
165,42,0
166,30,0
167,171,0
168,82,0
169,153,0
170,107,0
171,82,0
172,111,0
173,123,0
174,161,0
175,165,0
176,71,0
177,199,0
178,169,0
179,150,0
180,103,0
181,106,0
182,73,0
183,70,0
184,137,0
185,23,0
186,30,0
187,154,0
188,39,0
189,155,0
190,97,0
191,159,0
192,114,0
193,29,0
194,130,0
195,198,0
196,84,0
197,25,0
198,6,0
199,91,0
200,122,0
201,0,0
202,5,1
203,116,0
204,94,0
205,103,0
206,189,0
207,17,0
208,109,0
209,120,0
210,127,0
211,187,0
212,69,0
213,182,0
214,152,0
215,141,0
216,37,0
217,25,0
218,159,0
219,122,0
220,34,0
221,70,0
222,37,0
223,86,0
224,90,0
225,170,0
226,111,0
227,128,0
228,144,0
229,60,0
230,55,0
231,177,0
232,33,0
233,12,0
234,29,0
235,60,0
236,105,0
237,152,0
238,48,0
239,103,0
240,94,0
241,35,0
242,151,0
243,93,0
244,112,0
245,190,0
246,37,0
247,95,0
248,59,0
249,181,0
250,128,0
251,85,0
252,124,0
253,182,0
254,12,0
255,4,0
256,69,0
257,192,0
258,113,0
259,53,0
260,135,0
261,102,0
262,185,0
263,12,0
264,106,0
265,35,0
