node_id,x_m,y_m
0,1021.882,963.81
1,1056.99,957.862
2,1015.765,1140.554
3,918.382,976.662
4,1066.787,918.396
5,935.483,1104.144
6,1142.91,977.154
7,944.431,1141.066
8,979.559,1048.55
9,1049.481,1056.382
10,1126.763,1138.576
11,1070.98,1104.051
12,1096.251,1058.424
13,1005.003,954.032
14,963.811,1130.434
15,1072.717,923.555
16,1125.614,965.043
17,1070.808,1012.458
18,964.686,949.523
19,1042.348,1000.353
20,1053.735,1071.692
21,1102.68,1111.149
22,1053.991,1139.567
23,1021.522,1119.775
24,1101.559,1102.207
25,928.402,1040.179
26,1026.664,920.384
27,989.303,1026.699
28,898.693,899.263
29,1044.34,1000.148
30,1142.565,1110.416
31,1105.029,1098.507
32,953.27,1079.182
33,921.578,931.351
34,991.395,958.683
35,905.409,1026.986
36,1139.414,916.764
37,956.517,1129.505
38,1029.612,1013.732
39,1001.985,1103.064
40,1015.016,998.177
41,987.994,1091.576
42,901.815,1008.331
43,1057.494,899.218
44,976.522,984.045
45,1058.88,1027.387
46,1021.952,972.675
47,1004.867,1129.548
48,925.187,919.065
49,937.072,909.591
50,932.904,975.056
51,1082.168,1137.559
52,900.972,1022.54
53,957.49,1122.723
54,1146.952,1072.073
55,903.672,1021.009
56,1005.459,1032.496
57,953.128,903.724
58,1048.855,1104.462
59,981.18,991.89
60,908.157,1030.832
61,1101.805,1017.569
62,928.631,925.598
63,1110.365,1075.598
64,961.108,1026.158
65,927.79,1037.481
66,904.028,972.387
67,1018.668,1013.864
68,970.961,1063.696
69,959.329,1093.373
70,1105.606,1040.946
71,1137.794,959.507
72,1142.163,909.367
73,1037.973,943.374
74,925.837,966.399
75,992.357,897.4
76,967.764,1128.772
77,1098.707,1064.3
78,1138.961,1018.831
79,1087.165,1121.238
80,1028.737,1021.148
81,936.476,1132.189
82,981.011,946.46
83,954.991,1093.54
84,969.442,1066.27
85,1056.258,1133.27
86,1101.472,1135.787
87,951.274,906.605
88,904.551,946.004
89,918.933,933.593
90,1073.688,1007.464
91,961.589,1022.093
92,950.074,987.613
93,994.369,911.387
94,1133.546,1121.158
95,987.409,1053.641
96,903.004,991.757
97,1046.5,1003.26
98,926.473,1017.669
99,958.843,1054.206
100,1070.748,1034.875
101,1113.4,1095.601
102,927.495,1142.759
103,1063.686,1030.904
104,1015.895,1099.914
105,972.116,1064.721
106,994.07,1037.445
107,1048.88,1029.602
108,1045.645,906.486
109,951.58,993.382
110,981.734,990.621
111,975.033,974.151
112,1016.025,935.821
113,923.929,1122.499
114,1062.427,1098.869
115,981.093,1120.455
116,1005.056,1015.925
117,902.537,949.874
118,1055.189,1088.647
119,973.705,1101.986
120,1061.323,904.919
121,958.626,1146.494
122,1027.61,897.499
123,1065.479,989.808
124,921.405,1131.494
125,997.743,1066.371
126,981.308,1121.529
127,1047.77,982.914
128,967.935,1129.37
129,1058.484,1142.093
130,942.03,1004.591
131,1070.395,1142.63
132,1089.279,1012.52
133,1125.302,1086.614
134,979.521,990.93
135,1042.445,1147.77
136,1060.127,999.85
137,1066.237,921.843
138,1032.262,1051.913
139,1084.485,1127.453
140,911.939,1058.124
141,1017.496,965.597
142,1021.368,963.139
143,947.023,1122.461
144,1050.576,918.937
145,982.599,914.666
146,989.509,989.16
147,911.195,915.057
148,1006.968,1144.194
149,970.335,1128.424
150,926.151,1101.732
151,929.033,1068.792
152,938.315,1124.968
153,1127.211,954.752
154,1145.48,1073.597
155,909.002,1115.567
156,1004.208,1003.583
157,1010.142,954.846
158,1128.619,1075.539
159,1087.423,1102.337
160,962.377,1075.096
161,1085.505,988.084
162,1061.101,1044.882
163,1117.692,1022.459
164,994.503,1053.288
165,1090.306,1067.36
166,995.413,1043.478
167,1132.797,1062.844
168,1082.169,942.397
169,1016.366,1028.462
170,967.33,1036.624
171,920.567,932.345
172,989.98,1100.51
173,1119.912,967.318
174,1123.17,1130.795
175,996.636,996.14
176,959.188,928.257
177,1094.735,983.473
178,937.858,1090.743
179,1079.85,959.656
180,1081.104,1112.763
181,1032.266,1098.704
182,979.259,1097.299
183,1095.414,1103.436
184,1033.34,978.429
185,1119.254,1105.803
186,988.892,1084.344
187,1033.638,1079.292
188,1076.811,1074.025
189,1005.753,1141.616
190,1060.844,1026.712
191,971.54,1003.314
192,1144.624,994.54
193,995.551,926.587
194,981.626,913.726
195,968.247,1005.658
196,1033.955,923.23
197,1021.364,1146.992
198,1073.668,1122.693
199,1068.047,940.037
200,1011.298,947.177
201,1049.806,909.477
202,1047.914,1092.954
203,989.358,1078.376
204,932.732,1034.431
205,1093.485,1138.693
206,1100.432,1019.528
207,1008.522,1012.087
208,995.83,981.01
209,1014.81,935.465
210,911.906,956.021
211,920.606,917.4
212,1072.251,947.811
213,1032.418,1022.335
214,934.067,1032.941
215,993.815,998.617
216,1080.493,995.715
217,1104.637,1132.364
218,941.209,940.287
219,994.829,1061.9
220,1079.909,973.407
221,1092.746,973.367
222,1134.733,964.757
223,984.77,1012.151
224,1017.914,960.373
225,1022.28,1009.205
226,914.725,1105.817
227,963.802,1043.431
228,982.774,955.188
229,1008.977,974.207
230,1048.585,1092.626
231,1041.961,1021.189
232,990.962,1056.205
233,898.518,899.203
234,926.168,940.54
235,1090.281,1104.869
236,1041.955,918.255
237,1011.99,1050.788
238,1140.94,1104.813
239,1001.489,938.103
240,1053.419,1013.643
241,1140.141,1144.848
242,1109.889,1119.52
243,923.886,1025.081
244,912.3,969.245
245,1133.565,1121.683
246,1058.234,1133.19
247,1091.87,1072.987
248,1131.084,948.052
249,1098.637,1015.446
250,931.518,1026.656
251,1079.542,1086.683
252,1074.726,1039.494
253,958.682,977.737
254,1053.661,954.908
255,1105.306,935.091
256,921.32,1080.983
257,1024.695,955.112
258,1006.778,1145.707
259,938.786,1037.532
260,1077.708,1110.829
261,1032.276,951.216
262,917.161,968.252
263,1041.899,1087.851
264,994.388,1089.829
265,1080.112,905.656
266,897.493,914.107
267,1093.673,941.32
268,1141.579,994.225
269,906.381,999.628
270,1076.531,1036.137
271,1080.554,954.291
272,1044.131,940.816
273,1131.895,1107.06
274,1029.49,1132.574
275,911.909,1059.155
276,1026.032,1017.251
277,959.971,1033.983
278,1079.258,1086.792
279,991.037,899.229
280,1082.547,955.998
281,1144.605,1030.231
282,1089.348,906.742
283,948.688,1059.951
284,915.641,1001.496
285,1114.065,1121.224
286,1108.268,975.634
287,1105.5,983.203
288,1049.514,1030.589
289,1005.103,961.538
290,1141.229,1031.895
291,1010.612,992.353
292,993.201,941.456
293,916.378,1004.686
294,1096.147,1138.6
295,1099.048,965.331
296,995.442,1027.487
297,1089.567,913.031
298,1138.199,947.42
299,1000.107,918.057
300,921.989,980.745
301,1106.533,990.815
302,1134.408,1019.533
303,1042.226,939.79
304,1043.601,1012.025
305,909.187,1035.629
306,932.546,1144.516
307,1138.628,919.342
308,1119.149,981.564
309,1109.032,932.909
310,1003.696,916.322
311,1045.941,937.01
312,1139.006,1144.459
313,1068.207,1095.899
314,985.273,1005.923
315,953.074,965.803
316,949.041,1072.846
317,1074.133,919.438
318,1011.955,980.272
319,987.854,1104.661
320,989.503,1057.254
321,1031.477,1026.639
322,955.368,1050.172
323,967.653,934.872
324,911.354,1068.275
325,944.75,1014.008
326,1021.215,974.347
327,968.532,1127.591
328,1073.793,1035.445
329,902.232,1145.1
330,981.269,1003.957
331,1147.278,923.961
332,925.279,1002.589
333,1134.148,1096.861
334,1105.353,1103.953
335,1123.546,927.676
336,1079.257,1059.636
337,1108.753,922.972
338,1031.937,909.428
339,985.628,1030.84
340,1089.374,954.058
341,952.379,939.371
342,951.669,1039.262
343,1052.958,996.996
344,1072.744,929.214
345,1027.06,927.182
346,900.871,1042.63
347,905.507,1121.764
348,1029.347,1129.542
349,1022.03,1078.434
350,1036.97,927.541
351,945.212,978.268
352,931.371,1055.736
353,948.343,916.721
354,1115.368,1128.971
355,1121.385,1010.677
356,960.078,991.427
357,964.682,1134.0
358,1082.972,1053.318
359,964.645,897.21
360,1025.827,1064.593
361,1130.412,983.651
362,907.216,915.769
363,1089.448,938.593
364,1029.55,1014.317
365,941.321,1059.004
366,949.615,1063.825
367,994.825,934.154
368,1037.979,1022.37
369,1068.96,902.105
370,968.513,1146.186
371,1104.002,1028.041
372,974.718,936.459
373,1078.543,1137.25
