node_id,x_m,y_m
0,159.548,215.208
1,245.277,114.122
2,207.274,195.175
3,186.8,79.037
4,62.766,132.605
5,203.42,106.841
6,155.563,119.559
7,222.957,242.285
8,136.011,252.696
9,69.659,216.365
10,228.624,87.004
11,195.439,166.763
12,244.239,98.557
13,163.063,230.02
14,182.38,117.949
15,73.504,241.226
16,150.186,252.282
17,85.184,216.286
18,216.515,237.355
19,60.987,130.264
20,67.601,204.523
21,126.832,245.083
22,130.779,208.89
23,227.153,104.214
24,166.358,244.67
25,160.512,127.823
26,109.738,211.255
27,95.182,175.562
28,166.109,165.706
29,82.815,186.249
30,236.681,119.841
31,122.42,235.217
32,170.566,110.789
33,59.409,204.764
34,125.535,148.83
35,110.774,181.271
36,200.016,118.064
37,72.168,250.418
38,235.413,61.539
39,167.798,191.613
40,136.289,200.536
41,245.144,172.874
42,134.053,95.749
43,106.652,86.982
44,79.085,99.022
45,222.116,162.479
46,214.865,237.396
47,216.008,67.166
48,238.525,75.641
49,208.224,221.513
50,186.032,136.42
51,72.166,74.148
52,181.936,104.753
53,161.561,109.352
54,89.446,115.219
55,199.211,152.672
56,134.286,152.607
57,165.804,158.313
58,144.509,246.624
59,204.464,102.281
60,119.717,94.41
61,128.68,63.048
62,203.05,168.522
63,140.134,232.167
64,121.77,170.613
65,239.268,166.171
66,177.337,129.435
67,252.628,205.06
68,116.804,127.003
69,173.14,158.893
70,159.806,95.053
71,170.05,195.122
72,207.056,145.354
73,144.607,156.082
74,162.337,150.348
75,59.866,109.0
76,250.616,219.046
77,148.871,204.512
78,98.799,109.732
79,158.697,194.212
80,62.889,149.72
81,234.639,177.196
82,251.649,76.793
83,235.132,221.211
84,62.614,162.402
85,205.939,100.911
86,184.439,223.774
87,212.717,141.195
88,68.907,162.908
89,94.27,162.816
90,110.175,125.4
91,163.8,217.729
92,248.175,136.781
93,58.958,204.156
94,123.826,205.616
95,219.877,64.054
96,200.378,113.184
97,120.381,122.845
98,162.753,105.057
99,154.169,112.887
100,81.866,106.37
101,190.624,118.206
102,96.66,128.97
103,99.265,249.967
104,211.405,87.148
105,114.941,142.717
106,160.739,133.44
107,159.81,206.105
108,87.636,166.828
109,89.653,162.052
110,119.493,214.519
111,229.737,244.533
112,137.097,178.072
113,90.467,196.622
114,209.603,140.983
115,120.391,205.702
116,204.193,213.765
117,113.936,104.929
118,106.501,94.844
119,58.871,81.434
120,153.825,141.672
121,231.433,131.441
122,90.8,239.483
123,71.736,123.925
124,206.787,120.323
125,245.953,202.854
126,117.774,226.3
127,237.706,157.986
128,85.564,77.849
129,217.405,231.096
130,185.332,208.79
131,212.66,103.859
132,99.187,227.119
133,221.573,142.77
134,110.332,72.895
135,136.567,235.207
136,97.26,119.249
137,64.379,168.718
138,69.246,189.442
139,153.692,140.229
140,108.197,116.655
141,232.086,241.417
142,204.512,99.137
143,98.174,128.42
144,228.727,241.826
145,102.462,181.333
146,131.739,146.563
147,96.136,198.568
148,210.393,241.165
149,152.158,143.855
