entity_type,entity_id,node_id,x_m,y_m
CH,0,1600,395.742,491.147
CH,1,1618,635.206,383.993
CH,2,1635,571.273,878.042
CH,3,1641,103.837,704.361
CH,4,1646,561.812,1000.233
CH,5,1680,546.669,493.679
CH,6,1689,335.839,518.979
CH,7,1712,520.645,756.64
CH,8,1733,349.57,257.02
CH,9,1734,372.368,367.522
CH,10,1756,435.578,194.99
CH,11,1759,877.878,328.764
CH,12,1777,214.017,577.332
CH,13,1795,935.519,559.583
CH,14,1804,453.124,653.562
CH,15,1819,149.392,561.105
CH,16,1830,850.957,395.568
CH,17,1842,1013.805,2.208
CH,18,1878,452.155,446.088
CH,19,1889,283.887,341.462
CH,20,1928,259.573,648.318
CH,21,1929,348.225,674.395
CH,22,1935,413.502,829.512
CH,23,1955,225.959,66.972
CH,24,1969,74.184,768.226
CH,25,1974,586.935,141.756
CH,26,1978,537.867,694.259
CH,27,1987,457.706,1015.451
CH,28,2003,917.415,162.69
CH,29,2011,444.327,316.614
CH,30,2053,282.207,563.943
CH,31,2068,639.262,1009.383
CH,32,2072,424.578,733.851
CH,33,2111,954.326,503.739
CH,34,2117,198.798,509.356
CH,35,2133,952.016,93.391
CH,36,2149,211.702,441.503
CH,37,2169,80.996,66.437
CH,38,2176,274.106,406.551
CH,39,2220,745.754,188.146
CH,40,2234,180.939,912.988
CH,41,2267,8.852,474.281
CH,42,2323,824.55,283.088
CH,43,2332,519.094,828.731
CH,44,2361,505.709,349.89
CH,45,2370,652.764,209.793
CH,46,2377,200.668,715.76
CH,47,2378,362.806,889.949
CH,48,2390,956.819,255.799
CH,49,2399,214.538,337.71
CH,50,2407,44.681,363.209
CH,51,2432,553.756,564.008
CH,52,2469,617.389,317.183
CH,53,2478,580.886,429.197
CH,54,2483,207.53,811.085
CH,55,2488,323.043,777.359
CH,56,2498,133.811,159.258
CH,57,2520,5.49,689.206
CH,58,2530,853.719,596.455
CH,59,2536,354.361,19.45
CH,60,2538,366.488,1007.035
CH,61,2545,319.944,90.004
CH,62,2579,489.789,145.342
CH,63,2594,627.576,528.514
CH,64,2598,69.678,294.271
CH,65,2611,683.396,755.087
CH,66,2612,249.703,1017.232
CH,67,2623,671.277,272.57
CH,68,2626,875.993,216.808
CH,69,2629,298.548,882.649
CH,70,2633,474.932,878.657
CH,71,2638,834.298,113.454
CH,72,2641,671.711,653.915
CH,73,2645,285.634,202.51
CH,74,2749,50.595,860.856
CH,75,2752,913.453,438.156
CH,76,2754,9.9,914.394
CH,77,2757,502.807,960.764
CH,78,2790,740.541,671.071
CH,79,2794,268.733,732.084
CH,80,2806,564.823,356.55
CH,81,2814,810.315,195.826
CH,82,2843,287.999,2.509
CH,83,2861,1016.631,315.295
CH,84,2906,130.765,1016.329
CH,85,2910,187.186,205.005
CH,86,2927,600.557,803.682
CH,87,2940,1017.863,434.595
CH,88,2973,26.519,999.671
CH,89,2980,117.063,833.853
CH,90,2989,630.653,5.565
CH,91,2999,9.335,267.031
CH,92,3000,64.381,203.067
CH,93,3044,113.518,466.814
CH,94,3066,99.063,919.932
CH,95,3079,466.012,799.824
CH,96,3081,38.648,590.128
CH,97,3089,324.569,458.992
CH,98,3103,752.247,551.894
CH,99,3107,227.202,263.898
CH,100,3118,697.507,420.337
CH,101,3129,770.767,70.399
CH,102,3141,454.787,594.584
CH,103,3154,562.722,244.007
CH,104,3157,532.647,44.609
CH,105,3169,148.307,766.369
CH,106,3172,716.377,484.98
CH,107,3178,808.505,447.18
CH,108,3190,885.597,77.039
CH,109,3213,419.329,86.289
CH,110,3215,436.076,6.446
CH,111,3225,170.019,642.372
CH,112,3232,14.383,799.355
CH,113,3236,517.58,287.804
CH,114,3260,689.142,584.864
CH,115,3279,817.186,529.306
CH,116,3287,15.715,145.007
CH,117,3289,631.551,918.91
CH,118,3319,601.508,708.965
CH,119,3335,87.382,528.299
CH,120,3346,1017.86,122.384
CH,121,3365,118.805,259.829
CH,122,3372,529.411,194.279
CH,123,3382,555.033,631.769
CH,124,3421,795.085,3.96
CH,125,3423,198.058,985.722
CH,126,3428,956.279,373.258
CH,127,3440,293.979,962.093
CH,128,3456,692.159,865.357
CH,129,3473,1012.331,193.315
CH,130,3476,920.022,627.317
CH,131,3557,237.35,143.191
CH,132,3568,863.933,710.811
CH,133,3583,266.999,811.542
CH,134,3584,72.157,6.692
CH,135,3600,906.235,7.822
CH,136,3657,1002.669,554.471
CH,137,3664,244.289,914.932
CH,138,3673,494.728,547.097
CH,139,3687,876.589,531.638
CH,140,3704,94.31,619.326
CH,141,3709,1017.453,667.394
CH,142,3714,275.635,493.434
CH,143,3731,691.291,343.272
CH,144,3748,710.983,9.197
CH,145,3792,466.167,252.991
CH,146,3828,153.376,89.281
CH,147,3859,381.884,160.046
CH,148,3872,698.949,965.845
CH,149,3884,701.662,107.606
CH,150,3889,176.095,7.919
CH,151,3890,413.458,930.459
CH,152,3898,146.467,353.766
CH,153,3901,948.16,711.393
CH,154,3902,628.086,84.512
CH,155,3927,792.999,635.741
CH,156,3940,754.21,286.098
CH,157,3950,382.121,577.791
CH,158,3954,3.995,4.154
CH,159,3991,775.361,361.957
BS,0,,204.0,204.0
BS,1,,816.0,204.0
BS,2,,204.0,816.0
BS,3,,816.0,816.0
BS,4,,510.0,510.0
