entity_type,entity_id,node_id,x_m,y_m
CH,0,3036,530.415,786.804
CH,1,3041,857.456,696.465
CH,2,3045,4.446,829.043
CH,3,3050,993.282,291.092
CH,4,3058,22.294,462.627
CH,5,3062,266.238,506.17
CH,6,3067,631.309,873.795
CH,7,3072,333.081,1004.727
CH,8,3074,978.773,225.021
CH,9,3078,650.481,8.365
CH,10,3080,795.083,142.102
CH,11,3082,390.586,932.348
CH,12,3091,167.847,969.065
CH,13,3100,385.698,693.458
CH,14,3105,123.677,1003.022
CH,15,3108,973.731,164.095
CH,16,3111,325.966,490.648
CH,17,3118,545.413,862.744
CH,18,3123,1011.821,426.873
CH,19,3129,501.51,543.57
CH,20,3133,845.032,394.905
CH,21,3136,329.525,683.22
CH,22,3144,223.17,896.262
CH,23,3148,602.112,408.45
CH,24,3151,468.546,101.248
CH,25,3152,740.972,145.622
CH,26,3157,495.561,987.178
CH,27,3160,218.068,658.861
CH,28,3162,170.403,508.383
CH,29,3170,990.673,1011.339
CH,30,3180,901.192,6.616
CH,31,3182,361.618,621.615
CH,32,3187,506.823,311.08
CH,33,3192,518.577,6.901
CH,34,3195,685.968,977.363
CH,35,3201,515.048,459.557
CH,36,3204,717.431,544.086
CH,37,3212,365.452,770.886
CH,38,3213,642.675,929.74
CH,39,3225,582.417,710.753
CH,40,3226,78.971,828.943
CH,41,3239,161.445,588.069
CH,42,3244,520.803,596.818
CH,43,3252,955.369,589.835
CH,44,3267,701.849,803.652
CH,45,3271,885.68,860.648
CH,46,3272,482.411,640.78
CH,47,3275,474.799,842.935
CH,48,3277,4.254,952.698
CH,49,3279,617.557,469.323
CH,50,3282,896.315,232.325
CH,51,3288,128.098,636.504
CH,52,3291,830.18,315.817
CH,53,3297,576.577,7.677
CH,54,3298,752.644,77.409
CH,55,3302,219.406,477.488
CH,56,3324,242.153,810.586
CH,57,3329,266.429,1007.141
CH,58,3348,935.548,505.581
CH,59,3349,424.348,634.597
CH,60,3353,712.771,333.968
CH,61,3357,586.114,803.001
CH,62,3374,1011.818,794.828
CH,63,3387,273.738,696.091
CH,64,3388,379.393,828.004
CH,65,3389,766.135,663.839
CH,66,3394,755.414,484.47
CH,67,3399,831.668,824.003
CH,68,3401,311.569,756.8
CH,69,3406,526.864,719.684
CH,70,3412,921.109,753.987
CH,71,3413,888.384,930.661
CH,72,3421,909.685,664.939
CH,73,3424,438.601,775.039
CH,74,3436,586.441,1017.276
CH,75,3437,318.34,902.485
CH,76,3458,594.116,134.229
CH,77,3470,838.748,193.459
CH,78,3475,684.567,479.655
CH,79,3477,845.346,627.588
CH,80,3478,574.057,67.719
CH,81,3489,1004.88,491.72
CH,82,3496,764.182,387.695
CH,83,3498,919.096,326.983
CH,84,3510,122.207,702.284
CH,85,3511,70.563,738.252
CH,86,3525,657.759,613.863
CH,87,3535,430.985,507.248
CH,88,3541,80.207,943.653
CH,89,3544,1009.075,33.74
CH,90,3545,79.985,884.085
CH,91,3548,816.465,951.219
CH,92,3556,474.745,924.09
CH,93,3562,147.054,872.823
CH,94,3572,123.745,758.297
CH,95,3581,979.32,636.573
CH,96,3587,558.469,239.815
CH,97,3590,1016.721,875.265
CH,98,3619,36.32,597.615
CH,99,3630,465.021,268.543
CH,100,3631,789.396,756.046
CH,101,3632,761.67,575.43
CH,102,3634,89.231,532.805
CH,103,3638,897.169,996.564
CH,104,3642,1010.326,694.258
CH,105,3656,264.489,573.557
CH,106,3659,427.649,580.252
CH,107,3676,848.195,57.934
CH,108,3679,959.43,81.55
CH,109,3681,813.904,561.166
CH,110,3689,801.941,448.971
CH,111,3703,980.456,363.516
CH,112,3710,909.438,550.008
CH,113,3711,534.26,919.065
CH,114,3724,632.329,347.04
CH,115,3729,155.638,817.942
CH,116,3733,702.554,660.247
CH,117,3754,787.616,998.695
CH,118,3757,890.919,109.066
CH,119,3758,526.663,157.026
CH,120,3763,416.344,1001.403
CH,121,3775,795.258,892.547
CH,122,3777,712.53,432.469
CH,123,3780,555.966,507.446
CH,124,3788,694.926,184.394
CH,125,3790,721.949,719.117
CH,126,3801,711.983,605.519
CH,127,3802,590.08,929.875
CH,128,3812,68.11,1003.954
CH,129,3814,653.34,716.42
CH,130,3817,505.093,381.127
CH,131,3819,571.075,561.072
CH,132,3824,640.33,808.481
CH,133,3829,554.406,340.289
CH,134,3836,14.459,747.705
CH,135,3837,644.306,270.823
CH,136,3853,346.535,549.396
CH,137,3858,443.034,710.591
CH,138,3865,876.632,503.406
CH,139,3873,761.661,240.023
CH,140,3881,827.183,247.329
CH,141,3895,899.025,442.248
CH,142,3898,10.436,540.401
CH,143,3901,765.511,830.931
CH,144,3902,641.001,101.709
CH,145,3906,932.096,381.409
CH,146,3907,211.119,555.811
CH,147,3932,959.724,845.002
CH,148,3936,304.986,833.787
CH,149,3937,664.432,400.83
CH,150,3947,973.099,913.137
CH,151,3955,580.443,648.562
CH,152,3957,116.317,468.761
CH,153,3958,67.173,652.443
CH,154,3962,715.482,890.916
CH,155,3972,793.124,11.076
CH,156,3975,777.557,304.485
CH,157,3990,432.309,890.923
CH,158,3993,194.167,741.691
CH,159,3999,991.93,545.384
BS,0,,204.0,204.0
BS,1,,816.0,204.0
BS,2,,204.0,816.0
BS,3,,816.0,816.0
BS,4,,510.0,510.0
