node_id,x_m,y_m
0,1030.693,1021.862
1,62.849,93.322
2,900.997,793.904
3,722.63,333.555
4,653.996,654.919
5,627.376,172.42
6,465.401,425.44
7,779.961,1072.426
8,1023.55,587.535
9,480.663,290.627
10,40.655,31.531
11,502.226,344.668
12,410.896,961.565
13,567.71,605.109
14,256.069,27.671
15,351.854,149.086
16,551.001,1076.584
17,727.74,197.664
18,963.483,859.314
19,792.216,977.495
20,822.865,851.768
21,382.675,1057.531
22,1037.005,175.435
23,813.308,771.502
24,498.474,572.663
25,529.255,997.119
26,540.905,896.72
27,382.822,951.948
28,970.078,498.049
29,612.851,992.276
30,780.78,525.591
31,240.669,351.342
32,754.739,180.691
33,978.944,290.516
34,982.643,335.09
35,1032.121,761.877
36,544.572,559.097
37,702.922,634.629
38,337.544,225.613
39,552.795,1007.15
40,672.633,83.104
41,884.75,783.121
42,978.635,207.949
43,803.386,65.225
44,704.531,295.855
45,245.839,944.029
46,116.342,564.062
47,920.843,265.439
48,228.475,949.506
49,457.059,773.45
50,36.295,391.896
51,186.944,725.896
52,91.204,1029.109
53,29.271,786.86
54,24.752,277.122
55,877.169,171.059
56,199.703,746.049
57,416.869,48.441
58,1067.242,164.928
59,41.025,372.36
60,663.998,800.887
61,123.712,364.842
62,35.152,484.751
63,826.184,798.183
64,972.574,815.092
65,929.992,760.951
66,510.711,244.668
67,713.051,342.345
68,111.805,483.856
69,943.245,139.229
70,631.412,424.817
71,555.928,156.761
72,1034.671,280.788
73,654.14,453.657
74,21.404,602.354
75,153.253,63.096
76,38.107,175.414
77,105.158,685.341
78,548.887,1060.21
79,1007.124,1072.109
80,252.142,480.494
81,271.84,638.171
82,673.601,863.023
83,765.42,278.112
84,457.166,568.18
85,7.191,40.197
86,441.79,121.624
87,780.776,261.171
88,109.356,197.574
89,251.121,235.873
90,562.312,501.698
91,335.265,692.532
92,230.596,977.461
93,1038.314,786.33
94,468.698,552.375
95,627.238,57.129
96,451.786,566.969
97,196.998,102.915
98,865.657,396.014
99,560.67,993.481
100,658.909,313.589
101,1060.269,402.516
102,22.503,739.394
103,110.85,331.172
104,906.498,725.687
105,18.917,487.732
106,443.886,524.789
107,226.074,635.49
108,81.397,307.971
109,403.243,1008.351
110,84.366,814.363
111,208.978,616.991
112,423.556,500.429
113,812.853,427.066
114,132.981,133.025
115,88.63,916.676
116,691.707,1034.603
117,747.294,28.544
118,711.256,838.28
119,780.506,537.794
120,386.761,493.77
121,861.425,291.382
122,568.303,515.854
123,1029.254,867.481
124,1004.89,901.542
125,321.318,251.231
126,527.937,281.12
127,462.156,732.755
128,990.392,632.429
129,882.01,105.239
130,385.118,1075.577
131,159.635,450.442
132,73.919,94.697
133,965.558,1065.773
134,699.336,140.282
135,320.908,251.309
136,723.708,734.863
137,474.198,565.818
138,122.588,584.001
139,1024.134,815.216
140,105.462,557.755
141,771.733,278.812
142,964.909,497.972
143,758.677,436.88
144,1072.763,844.31
145,619.022,157.767
146,476.713,33.618
147,642.397,950.836
148,196.137,550.945
149,521.125,437.688
150,766.455,1009.857
151,761.002,510.409
152,1037.088,357.863
153,804.279,710.53
154,821.491,918.831
155,244.099,670.464
156,435.331,719.662
157,1053.504,685.078
158,14.488,501.855
159,767.656,952.346
160,701.491,880.091
161,20.44,1016.915
162,786.903,654.534
163,976.128,953.915
164,110.092,879.608
165,827.293,216.703
166,802.808,632.781
167,208.048,867.308
168,150.351,660.86
169,469.412,274.972
170,611.118,504.585
171,222.577,1042.256
172,80.36,5.268
173,524.315,902.818
174,710.441,814.024
175,523.86,728.087
176,362.342,289.233
177,543.121,31.62
178,87.874,813.261
179,188.901,809.275
180,845.989,437.232
181,728.293,849.266
182,931.69,147.12
183,176.925,412.67
184,501.971,319.225
185,13.191,601.786
186,1042.399,396.311
187,580.887,413.386
188,478.453,938.651
189,333.871,700.394
190,522.554,581.5
191,986.221,84.544
192,889.023,329.286
193,697.428,858.325
194,705.069,424.832
195,906.598,102.013
196,683.446,422.851
197,572.781,917.613
198,860.503,678.632
199,333.493,252.615
200,494.311,251.75
201,300.576,1032.544
202,122.475,882.831
203,410.034,394.313
204,344.589,85.267
205,494.141,181.151
