entity_type,entity_id,node_id,x_m,y_m
CH,0,9,219.946,585.668
CH,1,16,854.152,1028.413
CH,2,21,760.967,9.483
CH,3,25,966.39,933.892
CH,4,43,699.782,684.042
CH,5,46,1001.554,614.816
CH,6,80,901.244,300.211
CH,7,135,272.374,178.725
CH,8,137,449.211,579.632
CH,9,162,556.569,993.125
CH,10,172,858.292,594.675
CH,11,278,293.533,117.353
CH,12,326,640.373,349.982
CH,13,328,350.748,580.898
CH,14,342,608.647,92.384
CH,15,343,93.478,66.925
CH,16,350,785.201,73.133
CH,17,362,303.449,719.178
CH,18,396,233.048,451.594
CH,19,398,920.336,493.914
CH,20,441,43.747,637.797
CH,21,473,1070.301,566.506
CH,22,492,1068.879,277.967
CH,23,566,859.652,349.148
CH,24,583,856.84,18.415
CH,25,587,349.576,868.753
CH,26,621,97.531,342.227
CH,27,641,699.192,911.143
CH,28,665,131.073,928.358
CH,29,690,1021.089,495.63
CH,30,713,1070.762,99.84
CH,31,740,959.879,548.563
CH,32,841,737.742,772.12
CH,33,853,1001.972,226.668
CH,34,855,947.162,429.084
CH,35,865,743.95,1015.973
CH,36,871,3.541,1005.605
CH,37,896,69.717,527.507
CH,38,918,218.434,324.255
CH,39,972,665.886,141.514
CH,40,973,405.49,255.991
CH,41,993,125.809,457.28
CH,42,1049,782.44,683.165
CH,43,1068,10.612,53.223
CH,44,1069,1076.444,24.43
CH,45,1148,644.886,989.626
CH,46,1238,964.175,868.863
CH,47,1280,853.943,705.143
CH,48,1318,1025.081,353.383
CH,49,1347,360.048,66.78
CH,50,1381,585.574,293.436
CH,51,1470,1007.6,139.919
CH,52,1520,2.091,199.972
CH,53,1602,282.099,51.177
CH,54,1605,717.816,72.776
CH,55,1614,954.978,20.024
CH,56,1622,194.597,935.563
CH,57,1623,323.861,950.007
CH,58,1634,434.789,732.499
CH,59,1651,522.796,664.7
CH,60,1676,828.923,202.317
CH,61,1689,402.001,653.241
CH,62,1729,372.979,782.106
CH,63,1769,747.357,237.572
CH,64,1803,142.388,281.148
CH,65,1868,85.68,861.307
CH,66,1875,170.153,843.363
CH,67,1968,943.159,800.613
CH,68,1972,257.332,991.993
CH,69,1981,307.81,379.327
CH,70,2006,135.729,574.008
CH,71,2047,852.442,469.12
CH,72,2062,933.202,1007.748
CH,73,2094,79.203,223.793
CH,74,2099,439.581,850.196
CH,75,2105,760.36,615.676
CH,76,2109,964.306,324.081
CH,77,2122,1063.531,813.556
CH,78,2164,475.945,482.513
CH,79,2165,1062.417,1074.868
CH,80,2187,434.723,314.43
CH,81,2190,916.115,145.115
CH,82,2237,526.278,90.738
CH,83,2256,112.09,795.949
CH,84,2260,357.072,318.283
CH,85,2278,1072.694,685.547
CH,86,2297,673.591,451.216
CH,87,2316,296.936,498.675
CH,88,2319,201.85,79.363
CH,89,2325,293.666,790.258
CH,90,2340,399.608,519.261
CH,91,2387,610.573,916.434
CH,92,2435,875.895,957.639
CH,93,2487,486.987,1008.178
CH,94,2576,1072.001,404.498
CH,95,2585,4.175,576.286
CH,96,2604,640.922,1073.065
CH,97,2606,370.669,444.19
CH,98,2633,439.149,948.788
CH,99,2634,700.317,386.328
CH,100,2643,431.492,379.633
CH,101,2668,7.593,313.259
CH,102,2686,124.857,137.317
CH,103,2709,184.629,390.899
CH,104,2782,534.655,338.48
CH,105,2794,735.123,325.467
CH,106,2806,771.84,141.294
CH,107,2828,6.745,749.303
CH,108,2851,617.804,627.36
CH,109,2857,261.827,855.684
CH,110,2860,302.107,1071.247
CH,111,2884,1009.709,761.457
CH,112,2955,657.066,534.329
CH,113,2996,156.01,7.235
CH,114,3025,102.854,729.359
CH,115,3030,756.979,415.142
CH,116,3067,633.024,19.113
CH,117,3079,447.112,91.5
CH,118,3083,918.238,737.246
CH,119,3102,628.747,801.253
CH,120,3127,639.728,204.197
CH,121,3138,567.642,824.339
CH,122,3168,5.201,922.873
CH,123,3169,186.102,508.958
CH,124,3186,214.786,145.147
CH,125,3198,583.534,512.16
CH,126,3200,1073.458,959.462
CH,127,3206,601.495,405.69
CH,128,3246,530.434,887.375
CH,129,3301,888.931,883.681
CH,130,3315,163.933,645.354
CH,131,3340,372.557,1030.449
CH,132,3381,909.339,235.415
CH,133,3414,7.842,1076.771
CH,134,3424,529.543,7.426
CH,135,3470,663.972,747.667
CH,136,3491,650.442,864.795
CH,137,3498,924.085,636.782
CH,138,3524,185.76,212.75
CH,139,3547,207.149,763.191
CH,140,3552,6.469,485.764
CH,141,3587,414.882,20.914
CH,142,3614,763.443,866.16
CH,143,3664,487.245,184.419
CH,144,3674,334.011,237.121
CH,145,3682,1003.046,1014.344
CH,146,3684,81.451,1057.194
CH,147,3690,961.103,88.475
CH,148,3707,1071.128,191.73
CH,149,3761,695.357,819.623
CH,150,3763,50.006,415.396
CH,151,3803,1032.033,890.23
CH,152,3809,155.569,988.389
CH,153,3811,65.923,10.334
CH,154,3843,548.163,1073.875
CH,155,3896,517.085,782.877
CH,156,3915,573.9,227.128
CH,157,3982,286.502,629.373
CH,158,3989,449.83,1071.377
CH,159,3992,519.022,551.131
CH,160,4002,541.891,444.714
CH,161,4005,275.796,280.844
CH,162,4048,766.935,530.627
CH,163,4058,589.897,715.288
CH,164,4077,826.675,803.982
CH,165,4106,228.72,691.395
CH,166,4115,812.723,925.279
CH,167,4117,562.934,155.007
CH,168,4147,665.663,267.713
CH,169,4164,812.773,284.354
CH,170,4195,8.989,131.524
CH,171,4243,387.194,134.135
CH,172,4247,956.266,1075.364
CH,173,4354,974.684,687.641
CH,174,4361,183.707,1061.539
CH,175,4388,9.353,853.185
CH,176,4439,847.974,91.135
CH,177,4458,482.649,273.941
CH,178,4463,82.621,986.183
CH,179,4480,684.701,616.326
BS,0,,216.0,216.0
BS,1,,864.0,216.0
BS,2,,216.0,864.0
BS,3,,864.0,864.0
BS,4,,540.0,540.0
BS,5,,540.0,864.0
