feature,importance,rank
node_count,0.0,14
cluster_count,0.0,14
seed,0.0,14
sim_time_s,0.0,14
low_nodes,0.0,14
failure_injection_s,0.0,14
scale_S10,0.0,14
scale_S11,0.0,14
scale_S2,0.0,14
scale_S3,0.0,14
scale_S4,0.0,14
scale_S5,0.0,14
scale_S6,0.0,14
scale_S7,0.0,14
scale_S8,0.0,14
scale_S9,0.0,14
architecture_B,0.0,14
failure_family_F1,0.0,14
failure_family_F2,0.0,14
failure_family_F3,0.0,14
failure_family_F4,0.0,14
healing_id_H1,0.0,14
healing_id_H2,0.0,14
healing_id_H3,0.0,14
healing_id_H4,0.0,14
variant_V2,0.0,14
variant_V3,0.0,14
load_L2,0.0,14
