feature,importance,rank
low_nodes,0.8437716017538033,1
cluster_count,0.09781618383941199,2
load_L2,0.03410740911084547,3
scale_S6,0.020282487286187548,4
node_count,0.003187087983405553,5
scale_S7,0.0008124830209856049,6
healing_id_H4,9.138700450563438e-06,7
variant_V2,6.659541865661972e-06,8
sim_time_s,3.1586749070208337e-06,9
seed,9.272185813393423e-07,10
failure_family_F3,8.418534006952255e-07,11
failure_family_F2,7.354701277455492e-07,12
failure_family_F4,6.473906718082409e-07,13
healing_id_H3,5.399015209152109e-07,14
failure_family_F1,4.5515537470387316e-08,15
healing_id_H1,1.594043878945685e-08,16
variant_V3,1.3634279863754899e-08,17
healing_id_H2,1.1968118844958767e-08,18
failure_injection_s,1.1195460027130281e-08,19
architecture_B,1.1634997550087213e-21,20
scale_S5,0.0,24
scale_S4,0.0,24
scale_S3,0.0,24
scale_S2,0.0,24
scale_S11,0.0,24
scale_S10,0.0,24
scale_S8,0.0,24
scale_S9,0.0,24
