feature,importance,rank
variant_V3,1.0,1
node_count,0.0,15
seed,0.0,15
cluster_count,0.0,15
low_nodes,0.0,15
failure_injection_s,0.0,15
scale_S10,0.0,15
scale_S11,0.0,15
scale_S2,0.0,15
scale_S3,0.0,15
scale_S4,0.0,15
sim_time_s,0.0,15
scale_S5,0.0,15
scale_S6,0.0,15
scale_S8,0.0,15
scale_S7,0.0,15
architecture_B,0.0,15
failure_family_F1,0.0,15
failure_family_F2,0.0,15
scale_S9,0.0,15
failure_family_F3,0.0,15
failure_family_F4,0.0,15
healing_id_H2,0.0,15
healing_id_H1,0.0,15
healing_id_H3,0.0,15
healing_id_H4,0.0,15
variant_V2,0.0,15
load_L2,0.0,15
