model_name,target,feature_name,feature_category,safe_for_pre_recovery,reason
Model A,traffic_recovery_delay_s,architecture_B,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,failure_family_F2,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,failure_family_F3,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,failure_family_F4,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,final_agg_delivery_ratio,post-simulation outcome feature,No,post-simulation outcome feature
Model A,traffic_recovery_delay_s,final_agg_rx,post-simulation outcome feature,No,post-simulation outcome feature
Model A,traffic_recovery_delay_s,final_agg_tx,post-simulation outcome feature,No,post-simulation outcome feature
Model A,traffic_recovery_delay_s,final_avg_res_j,post-simulation outcome feature,No,post-simulation outcome feature
Model A,traffic_recovery_delay_s,final_consumed_j,post-simulation outcome feature,No,post-simulation outcome feature
Model A,traffic_recovery_delay_s,final_failed_chs,post-simulation outcome feature,No,post-simulation outcome feature
Model A,traffic_recovery_delay_s,final_min_res_j,post-simulation outcome feature,No,post-simulation outcome feature
Model A,traffic_recovery_delay_s,final_raw_delivery_ratio,post-simulation outcome feature,No,post-simulation outcome feature
Model A,traffic_recovery_delay_s,final_raw_rx,post-simulation outcome feature,No,post-simulation outcome feature
Model A,traffic_recovery_delay_s,final_raw_tx,post-simulation outcome feature,No,post-simulation outcome feature
Model A,traffic_recovery_delay_s,final_recovered_clusters,post-simulation outcome feature,No,post-simulation outcome feature
Model A,traffic_recovery_delay_s,healing_id_H2,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,healing_id_H3,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,healing_id_H4,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,load_L2,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,low_nodes,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,scale_S2,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,scale_S3,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,scale_S4,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,scale_S5,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,scale_S6,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,scale_S7,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,scale_S8,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,scale_S9,pre-simulation feature,Yes,pre-simulation feature
Model A,traffic_recovery_delay_s,seed,pre-simulation feature,Yes,pre-simulation feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,architecture_B,pre-simulation feature,Yes,pre-simulation feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,cluster_count,pre-simulation feature,Yes,pre-simulation feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,failure_family_F1,pre-simulation feature,Yes,pre-simulation feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,failure_family_F2,pre-simulation feature,Yes,pre-simulation feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,failure_family_F3,pre-simulation feature,Yes,pre-simulation feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,failure_family_F4,pre-simulation feature,Yes,pre-simulation feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,failure_injection_s,pre-simulation feature,Yes,pre-simulation feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,final_agg_rx,post-simulation outcome feature,No,post-simulation outcome feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,final_agg_tx,post-simulation outcome feature,No,post-simulation outcome feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,final_avg_res_j,post-simulation outcome feature,No,post-simulation outcome feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,final_consumed_j,post-simulation outcome feature,No,post-simulation outcome feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,final_failed_chs,post-simulation outcome feature,No,post-simulation outcome feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,final_min_res_j,post-simulation outcome feature,No,post-simulation outcome feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,final_raw_delivery_ratio,post-simulation outcome feature,No,post-simulation outcome feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,final_raw_rx,post-simulation outcome feature,No,post-simulation outcome feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,final_raw_tx,post-simulation outcome feature,No,post-simulation outcome feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,final_recovered_clusters,post-simulation outcome feature,No,post-simulation outcome feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,first_aggregate_s,unsafe leakage feature,No,unsafe leakage feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,first_recovered_aggregate_s,unsafe leakage feature,No,unsafe leakage feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,healing_id_H1,pre-simulation feature,Yes,pre-simulation feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,healing_id_H2,pre-simulation feature,Yes,pre-simulation feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,healing_id_H3,pre-simulation feature,Yes,pre-simulation feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,healing_id_H4,pre-simulation feature,Yes,pre-simulation feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,load_L2,pre-simulation feature,Yes,pre-simulation feature
Model B (final_agg_delivery_ratio),final_agg_delivery_ratio,low_nodes,pre-simulation feature,Yes,pre-simulation feature
