base_condition_key,best_healing_id,best_run_id,best_score
S=S1_A=A_F=F0_L=L1_seed=1,H0,73,-0.5
S=S1_A=A_F=F0_L=L1_seed=2,H0,77,-0.5
S=S1_A=A_F=F0_L=L1_seed=3,H0,81,-0.5
S=S1_A=A_F=F0_L=L1_seed=4,H0,85,-0.5
S=S1_A=A_F=F0_L=L2_seed=1,H0,74,-0.5
S=S1_A=A_F=F0_L=L2_seed=2,H0,78,-0.5
S=S1_A=A_F=F0_L=L2_seed=3,H0,82,-0.5
S=S1_A=A_F=F0_L=L2_seed=4,H0,86,-0.5
S=S1_A=A_F=F1_L=L1_seed=1,H0,169,-1.0
S=S1_A=A_F=F1_L=L1_seed=2,H0,201,-1.0
S=S1_A=A_F=F1_L=L1_seed=3,H0,233,-1.0
S=S1_A=A_F=F1_L=L1_seed=4,H0,265,-1.0
S=S1_A=A_F=F1_L=L2_seed=1,H0,177,-1.0
S=S1_A=A_F=F1_L=L2_seed=2,H0,209,-1.0
S=S1_A=A_F=F1_L=L2_seed=3,H0,241,-1.0
S=S1_A=A_F=F1_L=L2_seed=4,H0,273,-1.0
S=S1_A=A_F=F2_L=L1_seed=1,H0,171,-1.0
S=S1_A=A_F=F2_L=L1_seed=2,H0,203,-1.0
S=S1_A=A_F=F2_L=L1_seed=3,H0,235,-1.0
S=S1_A=A_F=F2_L=L1_seed=4,H0,267,-1.0
S=S1_A=A_F=F2_L=L2_seed=1,H0,179,-1.0
S=S1_A=A_F=F2_L=L2_seed=2,H0,211,-1.0
S=S1_A=A_F=F2_L=L2_seed=3,H0,243,-1.0
S=S1_A=A_F=F2_L=L2_seed=4,H0,275,-1.0
S=S1_A=A_F=F3_L=L1_seed=1,H0,173,-1.0
S=S1_A=A_F=F3_L=L1_seed=2,H0,205,-1.0
S=S1_A=A_F=F3_L=L1_seed=3,H0,237,-1.0
S=S1_A=A_F=F3_L=L1_seed=4,H0,269,-1.0
S=S1_A=A_F=F3_L=L2_seed=1,H0,181,-1.0
S=S1_A=A_F=F3_L=L2_seed=2,H0,213,-1.0
S=S1_A=A_F=F3_L=L2_seed=3,H0,245,-1.0
S=S1_A=A_F=F3_L=L2_seed=4,H0,277,-1.0
S=S1_A=A_F=F4_L=L1_seed=1,H4,176,0.0
S=S1_A=A_F=F4_L=L1_seed=2,H4,208,0.0
S=S1_A=A_F=F4_L=L1_seed=3,H4,240,0.0
S=S1_A=A_F=F4_L=L1_seed=4,H4,272,0.0
S=S1_A=A_F=F4_L=L2_seed=1,H4,184,0.0
S=S1_A=A_F=F4_L=L2_seed=2,H4,216,0.0
S=S1_A=A_F=F4_L=L2_seed=3,H4,248,0.0
S=S1_A=A_F=F4_L=L2_seed=4,H4,280,0.0
S=S1_A=B_F=F0_L=L1_seed=1,H0,75,-0.5
S=S1_A=B_F=F0_L=L1_seed=2,H0,79,-0.5
S=S1_A=B_F=F0_L=L1_seed=3,H0,83,-0.5
S=S1_A=B_F=F0_L=L1_seed=4,H0,87,-0.5
S=S1_A=B_F=F0_L=L2_seed=1,H0,76,-0.5
S=S1_A=B_F=F0_L=L2_seed=2,H0,80,-0.5
S=S1_A=B_F=F0_L=L2_seed=3,H0,84,-0.5
S=S1_A=B_F=F0_L=L2_seed=4,H0,88,-0.5
S=S1_A=B_F=F1_L=L1_seed=1,H0,185,-1.0
S=S1_A=B_F=F1_L=L1_seed=2,H0,217,-1.0
S=S1_A=B_F=F1_L=L1_seed=3,H0,249,-1.0
S=S1_A=B_F=F1_L=L1_seed=4,H0,281,-1.0
S=S1_A=B_F=F1_L=L2_seed=1,H0,193,-1.0
S=S1_A=B_F=F1_L=L2_seed=2,H0,225,-1.0
S=S1_A=B_F=F1_L=L2_seed=3,H0,257,-1.0
S=S1_A=B_F=F1_L=L2_seed=4,H0,289,-1.0
S=S1_A=B_F=F2_L=L1_seed=1,H0,187,-1.0
S=S1_A=B_F=F2_L=L1_seed=2,H0,219,-1.0
S=S1_A=B_F=F2_L=L1_seed=3,H0,251,-1.0
S=S1_A=B_F=F2_L=L1_seed=4,H0,283,-1.0
S=S1_A=B_F=F2_L=L2_seed=1,H0,195,-1.0
S=S1_A=B_F=F2_L=L2_seed=2,H0,227,-1.0
S=S1_A=B_F=F2_L=L2_seed=3,H0,259,-1.0
S=S1_A=B_F=F2_L=L2_seed=4,H0,291,-1.0
S=S1_A=B_F=F3_L=L1_seed=1,H0,189,-1.0
S=S1_A=B_F=F3_L=L1_seed=2,H0,221,-1.0
S=S1_A=B_F=F3_L=L1_seed=3,H0,253,-1.0
S=S1_A=B_F=F3_L=L1_seed=4,H0,285,-1.0
S=S1_A=B_F=F3_L=L2_seed=1,H0,197,-1.0
S=S1_A=B_F=F3_L=L2_seed=2,H0,229,-1.0
S=S1_A=B_F=F3_L=L2_seed=3,H0,261,-1.0
S=S1_A=B_F=F3_L=L2_seed=4,H0,293,-1.0
S=S1_A=B_F=F4_L=L1_seed=1,H4,192,0.0
S=S1_A=B_F=F4_L=L1_seed=2,H4,224,0.0
S=S1_A=B_F=F4_L=L1_seed=3,H4,256,0.0
S=S1_A=B_F=F4_L=L1_seed=4,H4,288,0.0
S=S1_A=B_F=F4_L=L2_seed=1,H4,200,0.0
S=S1_A=B_F=F4_L=L2_seed=2,H4,232,0.0
S=S1_A=B_F=F4_L=L2_seed=3,H4,264,0.0
S=S1_A=B_F=F4_L=L2_seed=4,H4,296,0.0
S=S10_A=A_F=F0_L=L1_seed=1,H0,1096,-0.5
S=S10_A=A_F=F0_L=L2_seed=1,H0,1097,-0.5
S=S10_A=A_F=F1_L=L1_seed=1,H0,1132,-0.5
S=S10_A=A_F=F1_L=L1_seed=2,H0,1133,-0.5
S=S10_A=A_F=F1_L=L2_seed=1,H0,1134,-0.5
S=S10_A=A_F=F1_L=L2_seed=2,H0,1135,-0.5
S=S10_A=A_F=F2_L=L1_seed=1,H0,1172,-0.5
S=S10_A=A_F=F2_L=L1_seed=2,H0,1173,-0.5
S=S10_A=A_F=F2_L=L2_seed=1,H0,1174,-0.5
