base_condition_key,scale,architecture,failure_family,load,seed,map_signature,best_healing_id,split
S10|A|F0|L1|1|5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,S10,A,F0,L1,1,5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,,validation
S10|A|F0|L2|1|5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,S10,A,F0,L2,1,5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,,validation
S10|A|F1|L1|1|5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,S10,A,F1,L1,1,5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,,validation
S10|A|F1|L1|2|d01a6f3e89e8ac95d6cc8f92a6a678b67d124913e55196ac4d15dc4a16ccd8e2,S10,A,F1,L1,2,d01a6f3e89e8ac95d6cc8f92a6a678b67d124913e55196ac4d15dc4a16ccd8e2,,validation
S10|A|F1|L2|1|5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,S10,A,F1,L2,1,5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,,validation
S10|A|F1|L2|2|d01a6f3e89e8ac95d6cc8f92a6a678b67d124913e55196ac4d15dc4a16ccd8e2,S10,A,F1,L2,2,d01a6f3e89e8ac95d6cc8f92a6a678b67d124913e55196ac4d15dc4a16ccd8e2,,validation
S10|A|F2|L1|1|5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,S10,A,F2,L1,1,5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,,validation
S10|A|F2|L1|2|d01a6f3e89e8ac95d6cc8f92a6a678b67d124913e55196ac4d15dc4a16ccd8e2,S10,A,F2,L1,2,d01a6f3e89e8ac95d6cc8f92a6a678b67d124913e55196ac4d15dc4a16ccd8e2,,validation
S10|A|F2|L2|1|5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,S10,A,F2,L2,1,5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,,validation
S10|A|F2|L2|2|d01a6f3e89e8ac95d6cc8f92a6a678b67d124913e55196ac4d15dc4a16ccd8e2,S10,A,F2,L2,2,d01a6f3e89e8ac95d6cc8f92a6a678b67d124913e55196ac4d15dc4a16ccd8e2,,validation
S10|A|F3|L1|1|5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,S10,A,F3,L1,1,5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,,validation
S10|A|F3|L1|2|d01a6f3e89e8ac95d6cc8f92a6a678b67d124913e55196ac4d15dc4a16ccd8e2,S10,A,F3,L1,2,d01a6f3e89e8ac95d6cc8f92a6a678b67d124913e55196ac4d15dc4a16ccd8e2,,validation
S10|A|F3|L2|1|5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,S10,A,F3,L2,1,5a035ddc11ec73766a6b09890884cfd469ac226a4208000d469cbf76063437cf,,validation
