run_id,healing_id,base_condition_key,score_v1,consumed_j,low_nodes,recovered_clusters,agg_delivery_ratio,recovery_delay_s
73,H0,S=S1_A=A_F=F0_L=L1_seed=1,-0.5,0.5762,0.0,0.0,1.0,0.0
1264,H0,S=S1_A=A_F=F0_L=L1_seed=1,-0.5,0.5762,0.0,0.0,1.0,0.0
77,H0,S=S1_A=A_F=F0_L=L1_seed=2,-0.5,0.5762,0.0,0.0,1.0,0.0
81,H0,S=S1_A=A_F=F0_L=L1_seed=3,-0.5,0.5762,0.0,0.0,1.0,0.0
85,H0,S=S1_A=A_F=F0_L=L1_seed=4,-0.5,0.5762,0.0,0.0,1.0,0.0
74,H0,S=S1_A=A_F=F0_L=L2_seed=1,-0.5,0.75668,0.0,0.0,1.0,0.0
78,H0,S=S1_A=A_F=F0_L=L2_seed=2,-0.5,0.75668,0.0,0.0,1.0,0.0
82,H0,S=S1_A=A_F=F0_L=L2_seed=3,-0.5,0.75668,0.0,0.0,1.0,0.0
86,H0,S=S1_A=A_F=F0_L=L2_seed=4,-0.5,0.75668,0.0,0.0,1.0,0.0
169,H0,S=S1_A=A_F=F1_L=L1_seed=1,-1.0,0.4922,1.0,0.0,1.0,0.0
1265,H1,S=S1_A=A_F=F1_L=L1_seed=1,-1.0,0.5762,1.0,1.0,1.0,1.0
170,H1,S=S1_A=A_F=F1_L=L1_seed=1,-1.0,0.5762,1.0,1.0,1.0,1.0
201,H0,S=S1_A=A_F=F1_L=L1_seed=2,-1.0,0.5342,1.0,0.0,1.0,0.0
202,H1,S=S1_A=A_F=F1_L=L1_seed=2,-1.0,0.5762,1.0,1.0,1.0,1.0
233,H0,S=S1_A=A_F=F1_L=L1_seed=3,-1.0,0.5402,1.0,0.0,1.0,0.0
234,H1,S=S1_A=A_F=F1_L=L1_seed=3,-1.0,0.5762,1.0,1.0,1.0,1.0
265,H0,S=S1_A=A_F=F1_L=L1_seed=4,-1.0,0.4922,1.0,0.0,1.0,0.0
266,H1,S=S1_A=A_F=F1_L=L1_seed=4,-1.0,0.5762,1.0,1.0,1.0,1.0
177,H0,S=S1_A=A_F=F1_L=L2_seed=1,-1.0,0.64772,1.0,0.0,1.0,0.0
178,H1,S=S1_A=A_F=F1_L=L2_seed=1,-1.0,0.75668,1.0,1.0,1.0,1.0
209,H0,S=S1_A=A_F=F1_L=L2_seed=2,-1.0,0.70316,1.0,0.0,1.0,0.0
210,H1,S=S1_A=A_F=F1_L=L2_seed=2,-1.0,0.75668,1.0,1.0,1.0,1.0
241,H0,S=S1_A=A_F=F1_L=L2_seed=3,-1.0,0.71108,1.0,0.0,1.0,0.0
242,H1,S=S1_A=A_F=F1_L=L2_seed=3,-1.0,0.75668,1.0,1.0,1.0,1.0
273,H0,S=S1_A=A_F=F1_L=L2_seed=4,-1.0,0.64772,1.0,0.0,1.0,0.0
274,H1,S=S1_A=A_F=F1_L=L2_seed=4,-1.0,0.75668,1.0,1.0,1.0,1.0
171,H0,S=S1_A=A_F=F2_L=L1_seed=1,-1.0,0.4202,0.0,0.0,1.0,0.0
172,H2,S=S1_A=A_F=F2_L=L1_seed=1,-1.0,0.5762,0.0,1.0,1.0,1.0
203,H0,S=S1_A=A_F=F2_L=L1_seed=2,-1.0,0.4922,0.0,0.0,1.0,0.0
204,H2,S=S1_A=A_F=F2_L=L1_seed=2,-1.0,0.5762,0.0,1.0,1.0,1.0
235,H0,S=S1_A=A_F=F2_L=L1_seed=3,-1.0,0.4862,0.0,0.0,1.0,0.0
236,H2,S=S1_A=A_F=F2_L=L1_seed=3,-1.0,0.5762,0.0,1.0,1.0,1.0
267,H0,S=S1_A=A_F=F2_L=L1_seed=4,-1.0,0.4562,0.0,0.0,1.0,0.0
268,H2,S=S1_A=A_F=F2_L=L1_seed=4,-1.0,0.5762,0.0,1.0,1.0,1.0
179,H0,S=S1_A=A_F=F2_L=L2_seed=1,-1.0,0.55268,0.0,0.0,1.0,0.0
180,H2,S=S1_A=A_F=F2_L=L2_seed=1,-1.0,0.75668,0.0,1.0,1.0,1.0
211,H0,S=S1_A=A_F=F2_L=L2_seed=2,-1.0,0.64772,0.0,0.0,1.0,0.0
212,H2,S=S1_A=A_F=F2_L=L2_seed=2,-1.0,0.75668,0.0,1.0,1.0,1.0
243,H0,S=S1_A=A_F=F2_L=L2_seed=3,-1.0,0.6398,0.0,0.0,1.0,0.0
244,H2,S=S1_A=A_F=F2_L=L2_seed=3,-1.0,0.75668,0.0,1.0,1.0,1.0
275,H0,S=S1_A=A_F=F2_L=L2_seed=4,-1.0,0.6002,0.0,0.0,1.0,0.0
276,H2,S=S1_A=A_F=F2_L=L2_seed=4,-1.0,0.75668,0.0,1.0,1.0,1.0
173,H0,S=S1_A=A_F=F3_L=L1_seed=1,-1.0,0.5198,0.0,0.0,1.0,0.0
174,H3,S=S1_A=A_F=F3_L=L1_seed=1,-1.0,0.5352,0.0,1.0,1.0,1.0
205,H0,S=S1_A=A_F=F3_L=L1_seed=2,-1.0,0.4058,0.0,0.0,1.0,0.0
206,H3,S=S1_A=A_F=F3_L=L1_seed=2,-1.0,0.425,0.0,1.0,1.0,1.0
237,H0,S=S1_A=A_F=F3_L=L1_seed=3,-1.0,0.4058,0.0,0.0,1.0,0.0
238,H3,S=S1_A=A_F=F3_L=L1_seed=3,-1.0,0.425,0.0,1.0,1.0,1.0
269,H0,S=S1_A=A_F=F3_L=L1_seed=4,-1.0,0.4838,0.0,0.0,1.0,0.0
270,H3,S=S1_A=A_F=F3_L=L1_seed=4,-1.0,0.5004,0.0,1.0,1.0,1.0
181,H0,S=S1_A=A_F=F3_L=L2_seed=1,-1.0,0.683,0.0,0.0,1.0,0.0
182,H3,S=S1_A=A_F=F3_L=L2_seed=1,-1.0,0.70224,0.0,1.0,1.0,1.0
213,H0,S=S1_A=A_F=F3_L=L2_seed=2,-1.0,0.53252,0.0,0.0,1.0,0.0
214,H3,S=S1_A=A_F=F3_L=L2_seed=2,-1.0,0.55556,0.0,1.0,1.0,1.0
245,H0,S=S1_A=A_F=F3_L=L2_seed=3,-1.0,0.53252,0.0,0.0,1.0,0.0
246,H3,S=S1_A=A_F=F3_L=L2_seed=3,-1.0,0.55556,0.0,1.0,1.0,1.0
277,H0,S=S1_A=A_F=F3_L=L2_seed=4,-1.0,0.63548,0.0,0.0,1.0,0.0
278,H3,S=S1_A=A_F=F3_L=L2_seed=4,-1.0,0.65592,0.0,1.0,1.0,1.0
175,H0,S=S1_A=A_F=F4_L=L1_seed=1,-2.0,0.4922,0.0,0.0,1.0,0.0
176,H4,S=S1_A=A_F=F4_L=L1_seed=1,0.0,0.3959,0.0,1.0,1.0,1.0
207,H0,S=S1_A=A_F=F4_L=L1_seed=2,-2.0,0.5342,0.0,0.0,1.0,0.0
208,H4,S=S1_A=A_F=F4_L=L1_seed=2,0.0,0.4956,0.0,1.0,1.0,1.0
239,H0,S=S1_A=A_F=F4_L=L1_seed=3,-2.0,0.5402,0.0,0.0,1.0,0.0
240,H4,S=S1_A=A_F=F4_L=L1_seed=3,0.0,0.4941,0.0,1.0,1.0,1.0
271,H0,S=S1_A=A_F=F4_L=L1_seed=4,-2.0,0.4922,0.0,0.0,1.0,0.0
272,H4,S=S1_A=A_F=F4_L=L1_seed=4,0.0,0.4307,0.0,1.0,1.0,1.0
183,H0,S=S1_A=A_F=F4_L=L2_seed=1,-2.0,0.64772,0.0,0.0,1.0,0.0
184,H4,S=S1_A=A_F=F4_L=L2_seed=1,0.0,0.51734,0.0,1.0,1.0,1.0
215,H0,S=S1_A=A_F=F4_L=L2_seed=2,-2.0,0.70316,0.0,0.0,1.0,0.0
216,H4,S=S1_A=A_F=F4_L=L2_seed=2,0.0,0.65016,0.0,1.0,1.0,1.0
247,H0,S=S1_A=A_F=F4_L=L2_seed=3,-2.0,0.71108,0.0,0.0,1.0,0.0
248,H4,S=S1_A=A_F=F4_L=L2_seed=3,0.0,0.64818,0.0,1.0,1.0,1.0
279,H0,S=S1_A=A_F=F4_L=L2_seed=4,-2.0,0.64772,0.0,0.0,1.0,0.0
280,H4,S=S1_A=A_F=F4_L=L2_seed=4,0.0,0.56366,0.0,1.0,1.0,1.0
75,H0,S=S1_A=B_F=F0_L=L1_seed=1,-0.5,0.5762,0.0,0.0,1.0,0.0
79,H0,S=S1_A=B_F=F0_L=L1_seed=2,-0.5,0.5762,0.0,0.0,1.0,0.0
83,H0,S=S1_A=B_F=F0_L=L1_seed=3,-0.5,0.5762,0.0,0.0,1.0,0.0
87,H0,S=S1_A=B_F=F0_L=L1_seed=4,-0.5,0.5762,0.0,0.0,1.0,0.0
76,H0,S=S1_A=B_F=F0_L=L2_seed=1,-0.5,0.75668,0.0,0.0,1.0,0.0
80,H0,S=S1_A=B_F=F0_L=L2_seed=2,-0.5,0.75668,0.0,0.0,1.0,0.0
84,H0,S=S1_A=B_F=F0_L=L2_seed=3,-0.5,0.75668,0.0,0.0,1.0,0.0
88,H0,S=S1_A=B_F=F0_L=L2_seed=4,-0.5,0.75668,0.0,0.0,1.0,0.0
185,H0,S=S1_A=B_F=F1_L=L1_seed=1,-1.0,0.4922,1.0,0.0,1.0,0.0
186,H1,S=S1_A=B_F=F1_L=L1_seed=1,-1.0,0.5762,1.0,1.0,1.0,1.0
217,H0,S=S1_A=B_F=F1_L=L1_seed=2,-1.0,0.5342,1.0,0.0,1.0,0.0
218,H1,S=S1_A=B_F=F1_L=L1_seed=2,-1.0,0.5762,1.0,1.0,1.0,1.0
249,H0,S=S1_A=B_F=F1_L=L1_seed=3,-1.0,0.5402,1.0,0.0,1.0,0.0
250,H1,S=S1_A=B_F=F1_L=L1_seed=3,-1.0,0.5762,1.0,1.0,1.0,1.0
281,H0,S=S1_A=B_F=F1_L=L1_seed=4,-1.0,0.4922,1.0,0.0,1.0,0.0
282,H1,S=S1_A=B_F=F1_L=L1_seed=4,-1.0,0.5762,1.0,1.0,1.0,1.0
193,H0,S=S1_A=B_F=F1_L=L2_seed=1,-1.0,0.64772,1.0,0.0,1.0,0.0
