base_condition_key,scale,architecture,failure_family,load,seed,candidate_healing_count,healing_methods
S=S1_A=A_F=F0_L=L1_seed=1,S1,A,F0,L1,1,1,H0
S=S1_A=A_F=F0_L=L1_seed=2,S1,A,F0,L1,2,1,H0
S=S1_A=A_F=F0_L=L1_seed=3,S1,A,F0,L1,3,1,H0
S=S1_A=A_F=F0_L=L1_seed=4,S1,A,F0,L1,4,1,H0
S=S1_A=A_F=F0_L=L2_seed=1,S1,A,F0,L2,1,1,H0
S=S1_A=A_F=F0_L=L2_seed=2,S1,A,F0,L2,2,1,H0
S=S1_A=A_F=F0_L=L2_seed=3,S1,A,F0,L2,3,1,H0
S=S1_A=A_F=F0_L=L2_seed=4,S1,A,F0,L2,4,1,H0
S=S1_A=A_F=F1_L=L1_seed=1,S1,A,F1,L1,1,2,"H0,H1"
S=S1_A=A_F=F1_L=L1_seed=2,S1,A,F1,L1,2,2,"H0,H1"
S=S1_A=A_F=F1_L=L1_seed=3,S1,A,F1,L1,3,2,"H0,H1"
S=S1_A=A_F=F1_L=L1_seed=4,S1,A,F1,L1,4,2,"H0,H1"
S=S1_A=A_F=F1_L=L2_seed=1,S1,A,F1,L2,1,2,"H0,H1"
S=S1_A=A_F=F1_L=L2_seed=2,S1,A,F1,L2,2,2,"H0,H1"
S=S1_A=A_F=F1_L=L2_seed=3,S1,A,F1,L2,3,2,"H0,H1"
S=S1_A=A_F=F1_L=L2_seed=4,S1,A,F1,L2,4,2,"H0,H1"
S=S1_A=A_F=F2_L=L1_seed=1,S1,A,F2,L1,1,2,"H0,H2"
S=S1_A=A_F=F2_L=L1_seed=2,S1,A,F2,L1,2,2,"H0,H2"
S=S1_A=A_F=F2_L=L1_seed=3,S1,A,F2,L1,3,2,"H0,H2"
S=S1_A=A_F=F2_L=L1_seed=4,S1,A,F2,L1,4,2,"H0,H2"
S=S1_A=A_F=F2_L=L2_seed=1,S1,A,F2,L2,1,2,"H0,H2"
S=S1_A=A_F=F2_L=L2_seed=2,S1,A,F2,L2,2,2,"H0,H2"
S=S1_A=A_F=F2_L=L2_seed=3,S1,A,F2,L2,3,2,"H0,H2"
S=S1_A=A_F=F2_L=L2_seed=4,S1,A,F2,L2,4,2,"H0,H2"
S=S1_A=A_F=F3_L=L1_seed=1,S1,A,F3,L1,1,2,"H0,H3"
S=S1_A=A_F=F3_L=L1_seed=2,S1,A,F3,L1,2,2,"H0,H3"
S=S1_A=A_F=F3_L=L1_seed=3,S1,A,F3,L1,3,2,"H0,H3"
S=S1_A=A_F=F3_L=L1_seed=4,S1,A,F3,L1,4,2,"H0,H3"
S=S1_A=A_F=F3_L=L2_seed=1,S1,A,F3,L2,1,2,"H0,H3"
