run_id,external_run_id,map_id,map_signature,architecture,load,failure_family,healing_id,scale,seed,recovery_applied,delivery_ratio,network_lifetime
1362,S500_B_L1_F0_H0_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L1,F0,H0,S12,1,no,1.0,600.000
1363,S500_B_L1_F0_H0_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L1,F0,H0,S12,2,no,1.0,600.000
1364,S500_B_L1_F0_H0_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L1,F0,H0,S12,3,no,1.0,600.000
1365,S500_B_L2_F0_H0_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L2,F0,H0,S12,1,no,1.0,600.000
1366,S500_B_L2_F0_H0_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L2,F0,H0,S12,2,no,1.0,600.000
1367,S500_B_L2_F0_H0_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L2,F0,H0,S12,3,no,1.0,600.000
1368,S1000_B_L1_F0_H0_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L1,F0,H0,S13,1,no,1.0,600.000
1369,S1000_B_L1_F0_H0_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L1,F0,H0,S13,2,no,1.0,600.000
1370,S1000_B_L1_F0_H0_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L1,F0,H0,S13,3,no,1.0,600.000
1371,S1000_B_L2_F0_H0_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L2,F0,H0,S13,1,no,1.0,600.000
1372,S1000_B_L2_F0_H0_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L2,F0,H0,S13,2,no,1.0,600.000
1373,S1000_B_L2_F0_H0_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L2,F0,H0,S13,3,no,1.0,600.000
1374,S500_B_L1_F2_H0_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L1,F2,H0,S12,1,no,1.0,600.000
1375,S500_B_L1_F2_H0_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L1,F2,H0,S12,2,no,1.0,600.000
1376,S500_B_L1_F2_H0_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L1,F2,H0,S12,3,no,1.0,600.000
1377,S500_B_L2_F2_H0_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L2,F2,H0,S12,1,no,1.0,600.000
1378,S500_B_L2_F2_H0_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L2,F2,H0,S12,2,no,1.0,600.000
1379,S500_B_L2_F2_H0_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L2,F2,H0,S12,3,no,1.0,600.000
1380,S1000_B_L1_F2_H0_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L1,F2,H0,S13,1,no,1.0,600.000
1381,S1000_B_L1_F2_H0_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L1,F2,H0,S13,2,no,1.0,600.000
1382,S1000_B_L1_F2_H0_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L1,F2,H0,S13,3,no,1.0,600.000
