run_id,scenario_key,scale,seed,map_signature,split,split_reason
74,S1|A|F0|H0|L2|1,S1,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,train,S1-S9 train split; lower-scale training set
75,S1|B|F0|H0|L1|1,S1,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,train,S1-S9 train split; lower-scale training set
76,S1|B|F0|H0|L2|1,S1,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,train,S1-S9 train split; lower-scale training set
77,S1|A|F0|H0|L1|2,S1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,train,S1-S9 train split; lower-scale training set
78,S1|A|F0|H0|L2|2,S1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,train,S1-S9 train split; lower-scale training set
79,S1|B|F0|H0|L1|2,S1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,train,S1-S9 train split; lower-scale training set
80,S1|B|F0|H0|L2|2,S1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,train,S1-S9 train split; lower-scale training set
81,S1|A|F0|H0|L1|3,S1,3,ba2838a4ed006e12afeb225b2d92e1e1d0d60559d3886328b9bafdf26d70da9c,train,S1-S9 train split; lower-scale training set
82,S1|A|F0|H0|L2|3,S1,3,ba2838a4ed006e12afeb225b2d92e1e1d0d60559d3886328b9bafdf26d70da9c,train,S1-S9 train split; lower-scale training set
83,S1|B|F0|H0|L1|3,S1,3,ba2838a4ed006e12afeb225b2d92e1e1d0d60559d3886328b9bafdf26d70da9c,train,S1-S9 train split; lower-scale training set
84,S1|B|F0|H0|L2|3,S1,3,ba2838a4ed006e12afeb225b2d92e1e1d0d60559d3886328b9bafdf26d70da9c,train,S1-S9 train split; lower-scale training set
85,S1|A|F0|H0|L1|4,S1,4,b82af73d93663850138fc038f2fc3034e04f4c85c4033149dc0eb39056f8ada9,train,S1-S9 train split; lower-scale training set
86,S1|A|F0|H0|L2|4,S1,4,b82af73d93663850138fc038f2fc3034e04f4c85c4033149dc0eb39056f8ada9,train,S1-S9 train split; lower-scale training set
87,S1|B|F0|H0|L1|4,S1,4,b82af73d93663850138fc038f2fc3034e04f4c85c4033149dc0eb39056f8ada9,train,S1-S9 train split; lower-scale training set
88,S1|B|F0|H0|L2|4,S1,4,b82af73d93663850138fc038f2fc3034e04f4c85c4033149dc0eb39056f8ada9,train,S1-S9 train split; lower-scale training set
89,S2|A|F0|H0|L1|1,S2,1,8e786060cee1bb7141ae24780ea6aa41fa6288956918e1e2203bc71df05a06b4,train,S1-S9 train split; lower-scale training set
90,S2|A|F0|H0|L2|1,S2,1,8e786060cee1bb7141ae24780ea6aa41fa6288956918e1e2203bc71df05a06b4,train,S1-S9 train split; lower-scale training set
91,S2|B|F0|H0|L1|1,S2,1,8e786060cee1bb7141ae24780ea6aa41fa6288956918e1e2203bc71df05a06b4,train,S1-S9 train split; lower-scale training set
92,S2|B|F0|H0|L2|1,S2,1,8e786060cee1bb7141ae24780ea6aa41fa6288956918e1e2203bc71df05a06b4,train,S1-S9 train split; lower-scale training set
93,S2|A|F0|H0|L1|2,S2,2,cb9334ae318a9af68f9f84f9493b1e29f9efd42c03f8c838672956a3f3cf7698,train,S1-S9 train split; lower-scale training set
94,S2|A|F0|H0|L2|2,S2,2,cb9334ae318a9af68f9f84f9493b1e29f9efd42c03f8c838672956a3f3cf7698,train,S1-S9 train split; lower-scale training set
95,S2|B|F0|H0|L1|2,S2,2,cb9334ae318a9af68f9f84f9493b1e29f9efd42c03f8c838672956a3f3cf7698,train,S1-S9 train split; lower-scale training set
96,S2|B|F0|H0|L2|2,S2,2,cb9334ae318a9af68f9f84f9493b1e29f9efd42c03f8c838672956a3f3cf7698,train,S1-S9 train split; lower-scale training set
97,S2|A|F0|H0|L1|3,S2,3,6d22ff8ca7e48c0f6c9c3900c3312a570cb43d72540a9bbb4192120417301366,train,S1-S9 train split; lower-scale training set
98,S2|A|F0|H0|L2|3,S2,3,6d22ff8ca7e48c0f6c9c3900c3312a570cb43d72540a9bbb4192120417301366,train,S1-S9 train split; lower-scale training set
99,S2|B|F0|H0|L1|3,S2,3,6d22ff8ca7e48c0f6c9c3900c3312a570cb43d72540a9bbb4192120417301366,train,S1-S9 train split; lower-scale training set
100,S2|B|F0|H0|L2|3,S2,3,6d22ff8ca7e48c0f6c9c3900c3312a570cb43d72540a9bbb4192120417301366,train,S1-S9 train split; lower-scale training set
101,S2|A|F0|H0|L1|4,S2,4,813ffb8b5d176d4ea11b5e9acdc992f4050e1d8fc193d8c576e16d85593e8443,train,S1-S9 train split; lower-scale training set
102,S2|A|F0|H0|L2|4,S2,4,813ffb8b5d176d4ea11b5e9acdc992f4050e1d8fc193d8c576e16d85593e8443,train,S1-S9 train split; lower-scale training set
103,S2|B|F0|H0|L1|4,S2,4,813ffb8b5d176d4ea11b5e9acdc992f4050e1d8fc193d8c576e16d85593e8443,train,S1-S9 train split; lower-scale training set
104,S2|B|F0|H0|L2|4,S2,4,813ffb8b5d176d4ea11b5e9acdc992f4050e1d8fc193d8c576e16d85593e8443,train,S1-S9 train split; lower-scale training set
105,S3|A|F0|H0|L1|1,S3,1,301fb37c77c6691aa16a90e8fe244be76835fa4abccbc0210460e769ce921311,train,S1-S9 train split; lower-scale training set
106,S3|A|F0|H0|L2|1,S3,1,301fb37c77c6691aa16a90e8fe244be76835fa4abccbc0210460e769ce921311,train,S1-S9 train split; lower-scale training set
107,S3|B|F0|H0|L1|1,S3,1,301fb37c77c6691aa16a90e8fe244be76835fa4abccbc0210460e769ce921311,train,S1-S9 train split; lower-scale training set
108,S3|B|F0|H0|L2|1,S3,1,301fb37c77c6691aa16a90e8fe244be76835fa4abccbc0210460e769ce921311,train,S1-S9 train split; lower-scale training set
109,S3|A|F0|H0|L1|2,S3,2,0d31669092a33d8232e3b1d06652ce8f2ac19c4fbfeb0e5f93b508ff235b0f8f,train,S1-S9 train split; lower-scale training set
110,S3|A|F0|H0|L2|2,S3,2,0d31669092a33d8232e3b1d06652ce8f2ac19c4fbfeb0e5f93b508ff235b0f8f,train,S1-S9 train split; lower-scale training set
111,S3|B|F0|H0|L1|2,S3,2,0d31669092a33d8232e3b1d06652ce8f2ac19c4fbfeb0e5f93b508ff235b0f8f,train,S1-S9 train split; lower-scale training set
