node_id,last_seen,last_seq,status,mode,rssi_dbm,battery_v,wifi_ip,missed_packets
NODE_01,2026-06-04T23:09:31.246298+00:00,73,ONLINE,NORMAL,-45,4.02,192.168.1.101,94
NODE_02,2026-06-04T23:09:31.518716+00:00,73,ONLINE,NORMAL,-60,4.04,192.168.1.102,0
NODE_03,2026-06-04T23:09:31.776722+00:00,73,ONLINE,NORMAL,-59,3.84,192.168.1.103,0
NODE_04,2026-06-04T23:09:32.037618+00:00,73,ONLINE,NORMAL,-53,3.97,192.168.1.104,0
NODE_05,2026-06-04T23:09:32.296992+00:00,68,ONLINE,NORMAL,-51,4.03,192.168.1.105,0
NODE_06,2026-06-04T23:09:32.560264+00:00,73,ONLINE,NORMAL,-45,4.01,192.168.1.106,0
NODE_07,2026-06-04T23:09:32.824694+00:00,73,ONLINE,NORMAL,-81,3.96,192.168.1.107,0
NODE_08,2026-06-04T23:09:33.093023+00:00,73,ONLINE,NORMAL,-50,3.93,192.168.1.108,0
NODE_09,2026-06-04T23:09:33.377841+00:00,73,ONLINE,NORMAL,-70,3.96,192.168.1.109,0
NODE_10,2026-06-04T23:09:33.628359+00:00,73,ONLINE,NORMAL,-62,3.96,192.168.1.110,0
