export_time,node_id,stored_status,computed_status,age_s,last_seen,last_seq,mode,rssi_dbm,battery_v,wifi_ip,missed_packets
2026-06-04T23:09:37.561485+00:00,NODE_01,ONLINE,ONLINE,6.315,2026-06-04T23:09:31.246298+00:00,73,NORMAL,-45,4.02,192.168.1.101,94
2026-06-04T23:09:37.561485+00:00,NODE_02,ONLINE,ONLINE,6.043,2026-06-04T23:09:31.518716+00:00,73,NORMAL,-60,4.04,192.168.1.102,0
2026-06-04T23:09:37.561485+00:00,NODE_03,ONLINE,ONLINE,5.785,2026-06-04T23:09:31.776722+00:00,73,NORMAL,-59,3.84,192.168.1.103,0
2026-06-04T23:09:37.561485+00:00,NODE_04,ONLINE,ONLINE,5.524,2026-06-04T23:09:32.037618+00:00,73,NORMAL,-53,3.97,192.168.1.104,0
2026-06-04T23:09:37.561485+00:00,NODE_05,ONLINE,ONLINE,5.264,2026-06-04T23:09:32.296992+00:00,68,NORMAL,-51,4.03,192.168.1.105,0
2026-06-04T23:09:37.561485+00:00,NODE_06,ONLINE,ONLINE,5.001,2026-06-04T23:09:32.560264+00:00,73,NORMAL,-45,4.01,192.168.1.106,0
2026-06-04T23:09:37.561485+00:00,NODE_07,ONLINE,ONLINE,4.737,2026-06-04T23:09:32.824694+00:00,73,NORMAL,-81,3.96,192.168.1.107,0
2026-06-04T23:09:37.561485+00:00,NODE_08,ONLINE,ONLINE,4.468,2026-06-04T23:09:33.093023+00:00,73,NORMAL,-50,3.93,192.168.1.108,0
2026-06-04T23:09:37.561485+00:00,NODE_09,ONLINE,ONLINE,4.184,2026-06-04T23:09:33.377841+00:00,73,NORMAL,-70,3.96,192.168.1.109,0
2026-06-04T23:09:37.561485+00:00,NODE_10,ONLINE,ONLINE,3.933,2026-06-04T23:09:33.628359+00:00,73,NORMAL,-62,3.96,192.168.1.110,0
