node_id,last_seen,last_seq,status,mode,rssi_dbm,battery_v,wifi_ip,missed_packets
NODE_01,2026-06-04T23:05:00.758998+00:00,37,ONLINE,NORMAL,-50,4.05,192.168.1.101,94
NODE_02,2026-06-04T23:05:00.995325+00:00,37,ONLINE,NORMAL,-55,4.07,192.168.1.102,0
NODE_03,2026-06-04T23:05:01.225767+00:00,37,ONLINE,NORMAL,-64,3.88,192.168.1.103,0
NODE_04,2026-06-04T23:05:01.461414+00:00,37,ONLINE,NORMAL,-49,4.0,192.168.1.104,0
NODE_05,2026-06-04T23:05:01.692122+00:00,32,ONLINE,NORMAL,-48,4.07,192.168.1.105,0
NODE_06,2026-06-04T23:05:01.938980+00:00,37,ONLINE,NORMAL,-60,4.05,192.168.1.106,0
NODE_07,2026-06-04T23:05:02.169674+00:00,37,ONLINE,NORMAL,-78,4.0,192.168.1.107,0
NODE_08,2026-06-04T23:05:02.400427+00:00,37,ONLINE,NORMAL,-53,3.97,192.168.1.108,0
NODE_09,2026-06-04T23:05:02.774541+00:00,37,ONLINE,NORMAL,-68,4.0,192.168.1.109,0
NODE_10,2026-06-04T23:05:03.004284+00:00,37,ONLINE,NORMAL,-46,4.0,192.168.1.110,0
