export_time,node_id,stored_status,computed_status,age_s,last_seen,last_seq,mode,rssi_dbm,battery_v,wifi_ip,missed_packets
2026-06-04T23:05:07.451878+00:00,NODE_01,ONLINE,ONLINE,6.693,2026-06-04T23:05:00.758998+00:00,37,NORMAL,-50,4.05,192.168.1.101,94
2026-06-04T23:05:07.451878+00:00,NODE_02,ONLINE,ONLINE,6.457,2026-06-04T23:05:00.995325+00:00,37,NORMAL,-55,4.07,192.168.1.102,0
2026-06-04T23:05:07.451878+00:00,NODE_03,ONLINE,ONLINE,6.226,2026-06-04T23:05:01.225767+00:00,37,NORMAL,-64,3.88,192.168.1.103,0
2026-06-04T23:05:07.451878+00:00,NODE_04,ONLINE,ONLINE,5.99,2026-06-04T23:05:01.461414+00:00,37,NORMAL,-49,4.0,192.168.1.104,0
2026-06-04T23:05:07.451878+00:00,NODE_05,ONLINE,ONLINE,5.76,2026-06-04T23:05:01.692122+00:00,32,NORMAL,-48,4.07,192.168.1.105,0
2026-06-04T23:05:07.451878+00:00,NODE_06,ONLINE,ONLINE,5.513,2026-06-04T23:05:01.938980+00:00,37,NORMAL,-60,4.05,192.168.1.106,0
2026-06-04T23:05:07.451878+00:00,NODE_07,ONLINE,ONLINE,5.282,2026-06-04T23:05:02.169674+00:00,37,NORMAL,-78,4.0,192.168.1.107,0
2026-06-04T23:05:07.451878+00:00,NODE_08,ONLINE,ONLINE,5.051,2026-06-04T23:05:02.400427+00:00,37,NORMAL,-53,3.97,192.168.1.108,0
2026-06-04T23:05:07.451878+00:00,NODE_09,ONLINE,ONLINE,4.677,2026-06-04T23:05:02.774541+00:00,37,NORMAL,-68,4.0,192.168.1.109,0
2026-06-04T23:05:07.451878+00:00,NODE_10,ONLINE,ONLINE,4.448,2026-06-04T23:05:03.004284+00:00,37,NORMAL,-46,4.0,192.168.1.110,0
