id,server_time,node_id,seq,uptime_ms,mode,last_command,temp_c,humidity,pressure_hpa,rssi_dbm,battery_v,wifi_ip,raw_json
1,2026-06-04T20:55:57.205570+00:00,NODE_01,1,10000,NORMAL,NONE,28.4,72.1,1008.5,-55,4.05,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 1, ""uptime_ms"": 10000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.4, ""humidity"": 72.1, ""pressure_hpa"": 1008.5, ""rssi_dbm"": -55, ""battery_v"": 4.05, ""wifi_ip"": ""192.168.1.101""}"
2,2026-06-04T21:00:00.967456+00:00,NODE_01,2,20000,NORMAL,NONE,28.6,71.9,1008.4,-57,4.04,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 2, ""uptime_ms"": 20000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.6, ""humidity"": 71.9, ""pressure_hpa"": 1008.4, ""rssi_dbm"": -57, ""battery_v"": 4.04, ""wifi_ip"": ""192.168.1.101""}"
3,2026-06-04T21:32:19.200752+00:00,NODE_01,3,30000,NORMAL,NONE,28.8,71.5,1008.2,-58,4.03,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 3, ""uptime_ms"": 30000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.8, ""humidity"": 71.5, ""pressure_hpa"": 1008.2, ""rssi_dbm"": -58, ""battery_v"": 4.03, ""wifi_ip"": ""192.168.1.101""}"
4,2026-06-04T21:34:13.972122+00:00,NODE_01,3,30000,NORMAL,NONE,28.8,71.5,1008.2,-58,4.03,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 3, ""uptime_ms"": 30000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.8, ""humidity"": 71.5, ""pressure_hpa"": 1008.2, ""rssi_dbm"": -58, ""battery_v"": 4.03, ""wifi_ip"": ""192.168.1.101""}"
5,2026-06-04T21:35:07.515185+00:00,NODE_01,4,40000,NORMAL,NONE,28.9,71.2,1008.1,-59,4.02,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 4, ""uptime_ms"": 40000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.9, ""humidity"": 71.2, ""pressure_hpa"": 1008.1, ""rssi_dbm"": -59, ""battery_v"": 4.02, ""wifi_ip"": ""192.168.1.101""}"
6,2026-06-04T22:16:49.689289+00:00,NODE_01,5,50000,NORMAL,NONE,29.1,70.9,1008.0,-60,4.01,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 5, ""uptime_ms"": 50000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.1, ""humidity"": 70.9, ""pressure_hpa"": 1008.0, ""rssi_dbm"": -60, ""battery_v"": 4.01, ""wifi_ip"": ""192.168.1.101""}"
7,2026-06-04T22:17:41.457944+00:00,NODE_01,100,100000,NORMAL,NONE,28.89,70.94,1008.67,-63,4.05,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 100, ""uptime_ms"": 100000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.89, ""humidity"": 70.94, ""pressure_hpa"": 1008.67, ""rssi_dbm"": -63, ""battery_v"": 4.05, ""wifi_ip"": ""192.168.1.101""}"
8,2026-06-04T22:17:46.557172+00:00,NODE_01,101,101000,NORMAL,NONE,28.62,71.07,1008.21,-54,4.02,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 101, ""uptime_ms"": 101000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.62, ""humidity"": 71.07, ""pressure_hpa"": 1008.21, ""rssi_dbm"": -54, ""battery_v"": 4.02, ""wifi_ip"": ""192.168.1.101""}"
9,2026-06-04T22:17:51.614846+00:00,NODE_01,102,102000,NORMAL,NONE,28.09,72.91,1008.71,-54,4.07,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 102, ""uptime_ms"": 102000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.09, ""humidity"": 72.91, ""pressure_hpa"": 1008.71, ""rssi_dbm"": -54, ""battery_v"": 4.07, ""wifi_ip"": ""192.168.1.101""}"
10,2026-06-04T22:17:56.664769+00:00,NODE_01,103,103000,NORMAL,NONE,28.1,71.78,1008.9,-60,4.0,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 103, ""uptime_ms"": 103000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.1, ""humidity"": 71.78, ""pressure_hpa"": 1008.9, ""rssi_dbm"": -60, ""battery_v"": 4.0, ""wifi_ip"": ""192.168.1.101""}"
11,2026-06-04T22:18:01.719524+00:00,NODE_01,104,104000,NORMAL,NONE,29.03,73.82,1008.24,-63,4.04,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 104, ""uptime_ms"": 104000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.03, ""humidity"": 73.82, ""pressure_hpa"": 1008.24, ""rssi_dbm"": -63, ""battery_v"": 4.04, ""wifi_ip"": ""192.168.1.101""}"
12,2026-06-04T22:18:06.776698+00:00,NODE_01,105,105000,NORMAL,NONE,28.92,71.72,1008.6,-62,4.03,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 105, ""uptime_ms"": 105000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.92, ""humidity"": 71.72, ""pressure_hpa"": 1008.6, ""rssi_dbm"": -62, ""battery_v"": 4.03, ""wifi_ip"": ""192.168.1.101""}"
13,2026-06-04T22:18:11.827638+00:00,NODE_01,106,106000,NORMAL,NONE,28.87,71.1,1008.29,-57,4.01,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 106, ""uptime_ms"": 106000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.87, ""humidity"": 71.1, ""pressure_hpa"": 1008.29, ""rssi_dbm"": -57, ""battery_v"": 4.01, ""wifi_ip"": ""192.168.1.101""}"
14,2026-06-04T22:18:16.905058+00:00,NODE_01,107,107000,NORMAL,NONE,28.37,72.93,1008.06,-59,4.01,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 107, ""uptime_ms"": 107000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.37, ""humidity"": 72.93, ""pressure_hpa"": 1008.06, ""rssi_dbm"": -59, ""battery_v"": 4.01, ""wifi_ip"": ""192.168.1.101""}"
15,2026-06-04T22:18:21.959849+00:00,NODE_01,108,108000,NORMAL,NONE,29.54,72.07,1008.17,-63,4.06,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 108, ""uptime_ms"": 108000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.54, ""humidity"": 72.07, ""pressure_hpa"": 1008.17, ""rssi_dbm"": -63, ""battery_v"": 4.06, ""wifi_ip"": ""192.168.1.101""}"
16,2026-06-04T22:18:26.999522+00:00,NODE_01,109,109000,NORMAL,NONE,29.45,71.71,1008.81,-65,4.02,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 109, ""uptime_ms"": 109000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.45, ""humidity"": 71.71, ""pressure_hpa"": 1008.81, ""rssi_dbm"": -65, ""battery_v"": 4.02, ""wifi_ip"": ""192.168.1.101""}"
17,2026-06-04T22:18:32.073100+00:00,NODE_01,110,110000,NORMAL,NONE,29.8,71.79,1008.09,-62,4.1,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 110, ""uptime_ms"": 110000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.8, ""humidity"": 71.79, ""pressure_hpa"": 1008.09, ""rssi_dbm"": -62, ""battery_v"": 4.1, ""wifi_ip"": ""192.168.1.101""}"
18,2026-06-04T22:18:37.161373+00:00,NODE_01,111,111000,NORMAL,NONE,29.15,70.75,1008.44,-64,4.01,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 111, ""uptime_ms"": 111000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.15, ""humidity"": 70.75, ""pressure_hpa"": 1008.44, ""rssi_dbm"": -64, ""battery_v"": 4.01, ""wifi_ip"": ""192.168.1.101""}"
19,2026-06-04T22:18:42.216075+00:00,NODE_01,112,112000,NORMAL,NONE,28.61,73.35,1008.2,-63,4.1,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 112, ""uptime_ms"": 112000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.61, ""humidity"": 73.35, ""pressure_hpa"": 1008.2, ""rssi_dbm"": -63, ""battery_v"": 4.1, ""wifi_ip"": ""192.168.1.101""}"
20,2026-06-04T22:18:47.275174+00:00,NODE_01,113,113000,NORMAL,NONE,28.04,72.09,1008.83,-64,4.04,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 113, ""uptime_ms"": 113000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.04, ""humidity"": 72.09, ""pressure_hpa"": 1008.83, ""rssi_dbm"": -64, ""battery_v"": 4.04, ""wifi_ip"": ""192.168.1.101""}"
21,2026-06-04T22:18:52.460895+00:00,NODE_01,114,114000,NORMAL,NONE,28.09,73.96,1008.59,-53,4.04,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 114, ""uptime_ms"": 114000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.09, ""humidity"": 73.96, ""pressure_hpa"": 1008.59, ""rssi_dbm"": -53, ""battery_v"": 4.04, ""wifi_ip"": ""192.168.1.101""}"
22,2026-06-04T22:18:57.521081+00:00,NODE_01,115,115000,NORMAL,NONE,28.71,70.1,1008.03,-55,4.05,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 115, ""uptime_ms"": 115000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.71, ""humidity"": 70.1, ""pressure_hpa"": 1008.03, ""rssi_dbm"": -55, ""battery_v"": 4.05, ""wifi_ip"": ""192.168.1.101""}"
23,2026-06-04T22:19:02.698847+00:00,NODE_01,116,116000,NORMAL,NONE,28.09,70.25,1008.96,-63,4.09,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 116, ""uptime_ms"": 116000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.09, ""humidity"": 70.25, ""pressure_hpa"": 1008.96, ""rssi_dbm"": -63, ""battery_v"": 4.09, ""wifi_ip"": ""192.168.1.101""}"
24,2026-06-04T22:19:07.759836+00:00,NODE_01,117,117000,NORMAL,NONE,29.88,70.77,1008.19,-59,4.04,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 117, ""uptime_ms"": 117000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.88, ""humidity"": 70.77, ""pressure_hpa"": 1008.19, ""rssi_dbm"": -59, ""battery_v"": 4.04, ""wifi_ip"": ""192.168.1.101""}"
25,2026-06-04T22:19:12.941826+00:00,NODE_01,118,118000,NORMAL,NONE,29.45,73.73,1008.63,-59,4.07,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 118, ""uptime_ms"": 118000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.45, ""humidity"": 73.73, ""pressure_hpa"": 1008.63, ""rssi_dbm"": -59, ""battery_v"": 4.07, ""wifi_ip"": ""192.168.1.101""}"
26,2026-06-04T22:19:18.001028+00:00,NODE_01,119,119000,NORMAL,NONE,29.69,73.69,1008.62,-64,4.05,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 119, ""uptime_ms"": 119000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.69, ""humidity"": 73.69, ""pressure_hpa"": 1008.62, ""rssi_dbm"": -64, ""battery_v"": 4.05, ""wifi_ip"": ""192.168.1.101""}"
27,2026-06-04T22:19:23.176671+00:00,NODE_01,120,120000,NORMAL,NONE,29.82,70.18,1008.28,-62,4.09,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 120, ""uptime_ms"": 120000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.82, ""humidity"": 70.18, ""pressure_hpa"": 1008.28, ""rssi_dbm"": -62, ""battery_v"": 4.09, ""wifi_ip"": ""192.168.1.101""}"
28,2026-06-04T22:19:28.359817+00:00,NODE_01,121,121000,NORMAL,NONE,28.48,73.19,1008.8,-60,4.09,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 121, ""uptime_ms"": 121000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.48, ""humidity"": 73.19, ""pressure_hpa"": 1008.8, ""rssi_dbm"": -60, ""battery_v"": 4.09, ""wifi_ip"": ""192.168.1.101""}"
29,2026-06-04T22:19:33.420828+00:00,NODE_01,122,122000,NORMAL,NONE,28.69,70.91,1008.41,-53,4.1,192.168.1.101,"{""node_id"": ""NODE_01"", ""seq"": 122, ""uptime_ms"": 122000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.69, ""humidity"": 70.91, ""pressure_hpa"": 1008.41, ""rssi_dbm"": -53, ""battery_v"": 4.1, ""wifi_ip"": ""192.168.1.101""}"
