run_id,external_run_id,scale,node_count,cluster_count,bs_count,map_profile,seed,architecture,load,failure_family,healing_id,variant,map_id,map_signature,mean_node_to_ch_distance,max_node_to_ch_distance,mean_ch_to_bs_distance,max_ch_to_bs_distance,cluster_size_mean,cluster_size_max,cluster_size_cv,long_link_ratio,failure_time_s,recovery_applied_delay_s,recovery_applied_s,recovery_event_time_s,first_recovered_aggregate_s,traffic_recovery_delay_s,recovery_stress_score,recovery_map_profile_penalty_s,recovery_queue_norm,recovery_cluster_norm,recovery_energy_norm,recovery_distance_norm,consumed_j,avg_res_j,min_res_j,low_nodes,raw_tx,raw_rx,raw_delivery_ratio,agg_tx,agg_rx,agg_delivery_ratio,pending_raw_total,failed_chs,recovered_clusters,candidate_group_key,is_healing_case,is_baseline,is_failure_no_healing,source_output_dir,split
campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed043,campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed043_43_20260531_145808,S1,50,3,1,M1_BALANCED,43,A,L1,F1,H1,V3,map_S1_M1_BALANCED_seed043,ed93884cbbe23409d6ea7ff8785391c69416e99c27b05a567f2bfcbbb7de6659,28.877,69.964,54.331,58.259,16.667,21,0.1855,0.18,60.0,18.312,78.312,138.312,140.0,80.0,9.236,0.0,1.0,0.7,1.0,0.379,25.087393,1.470787,0.0,4,12712,12712,1.0,24,24,1.0,1175,0,1,S1|M1_BALANCED|43|A|L1|F1,True,False,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed043_43_20260531_145808,test
campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed044,campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed044_44_20260531_145837,S1,50,3,1,M1_BALANCED,44,A,L1,F1,H1,V3,map_S1_M1_BALANCED_seed044,14424f9a5524aba0b1d2498eadc0618e6ba28f589b5acf3b32a824315e1dab3e,29.749,61.672,45.736,57.959,16.667,24,0.315,0.2,60.0,17.78,77.78,137.78,140.0,80.0,8.662,0.0,1.0,0.565,1.0,0.322,25.406173,1.463399,0.0,4,12804,12804,1.0,24,24,1.0,1175,0,1,S1|M1_BALANCED|44|A|L1|F1,True,False,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed044_44_20260531_145837,test
campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed045,campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed045_45_20260531_145905,S1,50,3,1,M1_BALANCED,45,A,L1,F1,H1,V3,map_S1_M1_BALANCED_seed045,ffc7ed6e5f7042621c41821150d77232d482665377538a7121aced5c72b374b4,24.669,61.005,44.347,55.935,16.667,28,0.4808,0.14,60.0,17.886,77.886,137.886,140.0,80.0,8.298,0.0,1.0,0.37,1.0,0.396,23.42805,1.500188,0.0,3,13038,13038,1.0,24,24,1.0,1175,0,1,S1|M1_BALANCED|45|A|L1|F1,True,False,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed045_45_20260531_145905,test
campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed046,campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed046_46_20260531_145934,S1,50,3,1,M1_BALANCED,46,A,L1,F1,H1,V3,map_S1_M1_BALANCED_seed046,f0248c7cd2cedeca16c1fbf83336930f6ea0ac98504a5089a942a48cff41ff68,33.549,72.303,53.334,61.3,16.667,30,0.5987,0.18,60.0,18.928,78.928,138.928,140.0,80.0,9.821,0.0,1.0,1.0,1.0,0.274,24.811464,1.491382,0.0,3,11527,11527,1.0,24,24,1.0,1175,0,1,S1|M1_BALANCED|46|A|L1|F1,True,False,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed046_46_20260531_145934,test
campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed047,campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed047_47_20260531_150003,S1,50,3,1,M1_BALANCED,47,A,L1,F1,H1,V3,map_S1_M1_BALANCED_seed047,52c5aa956d3ce3fb01c34c78c05252e5640c364d94ad15c78a9327d3726754d8,26.135,51.702,47.142,60.117,16.667,28,0.4808,0.14,60.0,17.804,77.804,137.804,140.0,80.0,8.386,0.0,1.0,0.37,1.0,0.425,23.946103,1.490068,0.0,3,13038,13038,1.0,24,24,1.0,1175,0,1,S1|M1_BALANCED|47|A|L1|F1,True,False,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed047_47_20260531_150003,test
campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed048,campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed048_48_20260531_150031,S1,50,3,1,M1_BALANCED,48,A,L1,F1,H1,V3,map_S1_M1_BALANCED_seed048,579e7de55d3d4698c8f07d292e77fdff87ccc51b54d062512b819d254ed21cd3,25.531,59.706,45.354,58.612,16.667,21,0.2514,0.2,60.0,18.108,78.108,138.108,140.0,80.0,8.743,0.0,1.0,0.5,1.0,0.414,23.606937,1.496702,0.0,3,13028,13028,1.0,24,24,1.0,1175,0,1,S1|M1_BALANCED|48|A|L1|F1,True,False,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed048_48_20260531_150031,test
campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed049,campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed049_49_20260531_150100,S1,50,3,1,M1_BALANCED,49,A,L1,F1,H1,V3,map_S1_M1_BALANCED_seed049,fa3d605de694d03de3c5815ee54aeccf8e411de120fbaede4640c7504be8b5b0,27.383,45.462,46.493,49.219,16.667,20,0.2417,0.1,60.0,19.785,79.785,139.785,140.0,80.0,9.996,0.0,1.0,1.0,1.0,0.332,23.989106,1.497723,0.0,4,12298,12298,1.0,24,24,1.0,1175,0,1,S1|M1_BALANCED|49|A|L1|F1,True,False,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed049_49_20260531_150100,test
campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed050,campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed050_50_20260531_150128,S1,50,3,1,M1_BALANCED,50,A,L1,F1,H1,V3,map_S1_M1_BALANCED_seed050,5f568ea03140468b3a584511034c6e575e0c28bd80adc2fc1789cee1c850ef05,24.878,53.193,45.473,59.676,16.667,29,0.5284,0.24,60.0,17.286,77.286,137.286,140.0,80.0,8.123,0.0,1.0,0.286,1.0,0.422,23.38594,1.499257,0.0,3,13194,13194,1.0,24,24,1.0,1175,0,1,S1|M1_BALANCED|50|A|L1|F1,True,False,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F1_H1_seed050_50_20260531_150128,test
campaign_v3_S1_M1_BALANCED_A_L1_F2_H1_seed043,campaign_v3_S1_M1_BALANCED_A_L1_F2_H1_seed043_43_20260531_145810,S1,50,3,1,M1_BALANCED,43,A,L1,F2,H1,V3,map_S1_M1_BALANCED_seed043,ed93884cbbe23409d6ea7ff8785391c69416e99c27b05a567f2bfcbbb7de6659,28.877,69.964,54.331,58.259,16.667,21,0.1855,0.18,60.0,24.376,84.376,144.376,150.0,90.0,7.127,0.0,1.0,0.65,0.314,0.412,24.301463,1.513971,0.0,3,12713,12713,1.0,24,24,1.0,1175,0,1,S1|M1_BALANCED|43|A|L1|F2,True,False,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F2_H1_seed043_43_20260531_145810,test
campaign_v3_S1_M1_BALANCED_A_L1_F2_H1_seed044,campaign_v3_S1_M1_BALANCED_A_L1_F2_H1_seed044_44_20260531_145838,S1,50,3,1,M1_BALANCED,44,A,L1,F2,H1,V3,map_S1_M1_BALANCED_seed044,14424f9a5524aba0b1d2498eadc0618e6ba28f589b5acf3b32a824315e1dab3e,29.749,61.672,45.736,57.959,16.667,24,0.315,0.2,60.0,25.909,85.909,145.909,150.0,90.0,8.353,0.0,1.0,1.0,0.546,0.238,24.657479,1.50685,0.0,3,11840,11840,1.0,24,24,1.0,1175,0,1,S1|M1_BALANCED|44|A|L1|F2,True,False,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F2_H1_seed044_44_20260531_145838,test
